auditId,auditStatus,researchUnitId,unitType,regionId,batchId,unitStatus,field,status,evidenceId,journalEntryId,sourceId,citationId,messages,unitMessages,inheritanceStatus,expectedBreedIds,actualBreedIds,inheritanceMessages
AUDIT_01,PASS,SPC_AIX_GALERICULATA,BEAST_SPECIES,R01,R01_B01,PASS,personalityId,PASS,EVD_JRN_R01_B01_SPC_AIX_GALERICULATA_PERSONALITY_ID_001,JRN_R01_B01_SPC_AIX_GALERICULATA_PERSONALITY_ID_001,SRC_R01_B01_001,CIT_JRN_R01_B01_SPC_AIX_GALERICULATA_PERSONALITY_ID_001,,,PASS,BRD_MANDARIN_DUCK,BRD_MANDARIN_DUCK,
AUDIT_01,PASS,SPC_AIX_GALERICULATA,BEAST_SPECIES,R01,R01_B01,PASS,terrainBroad,PASS,EVD_JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_BROAD_001,JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_BROAD_001,SRC_R01_B01_001,CIT_JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_BROAD_001,,,PASS,BRD_MANDARIN_DUCK,BRD_MANDARIN_DUCK,
AUDIT_01,PASS,SPC_AIX_GALERICULATA,BEAST_SPECIES,R01,R01_B01,PASS,terrainSpecific,PASS,EVD_JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_SPECIFIC_001,JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_SPECIFIC_001,SRC_R01_B01_001,CIT_JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_SPECIFIC_001,,,PASS,BRD_MANDARIN_DUCK,BRD_MANDARIN_DUCK,
AUDIT_01,PASS,SPC_ALCA_TORDA,BEAST_SPECIES,R01,R01_B01,PASS,personalityId,PASS,EVD_JRN_R01_B01_SPC_ALCA_TORDA_PERSONALITY_001,JRN_R01_B01_SPC_ALCA_TORDA_PERSONALITY_001,SRC_R01_B01_002,CIT_JRN_R01_B01_SPC_ALCA_TORDA_PERSONALITY_001,,,PASS,BRD_RAZORBILL,BRD_RAZORBILL,
AUDIT_01,PASS,SPC_ALCA_TORDA,BEAST_SPECIES,R01,R01_B01,PASS,terrainBroad,PASS,EVD_JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_BROAD_001,JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_BROAD_001,SRC_R01_B01_002,CIT_JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_BROAD_001,,,PASS,BRD_RAZORBILL,BRD_RAZORBILL,
AUDIT_01,PASS,SPC_ALCA_TORDA,BEAST_SPECIES,R01,R01_B01,PASS,terrainSpecific,PASS,EVD_JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_SPECIFIC_001,JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_SPECIFIC_001,SRC_R01_B01_002,CIT_JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_SPECIFIC_001,,,PASS,BRD_RAZORBILL,BRD_RAZORBILL,
AUDIT_01,PASS,SPC_ANAS_PLATYRHYNCHOS,BEAST_SPECIES,R01,R01_B01,PASS,personalityId,PASS,EVD_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_PERSONALITY_ID_001,JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_PERSONALITY_ID_001,SRC_R01_B01_003,CIT_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_PERSONALITY_ID_001,,,PASS,BRD_MALLARD,BRD_MALLARD,
AUDIT_01,PASS,SPC_ANAS_PLATYRHYNCHOS,BEAST_SPECIES,R01,R01_B01,PASS,terrainBroad,PASS,EVD_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_BROAD_001,JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_BROAD_001,SRC_R01_B01_003,CIT_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_BROAD_001,,,PASS,BRD_MALLARD,BRD_MALLARD,
AUDIT_01,PASS,SPC_ANAS_PLATYRHYNCHOS,BEAST_SPECIES,R01,R01_B01,PASS,terrainSpecific,PASS,EVD_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_SPECIFIC_001,JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_SPECIFIC_001,SRC_R01_B01_003,CIT_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_SPECIFIC_001,,,PASS,BRD_MALLARD,BRD_MALLARD,
AUDIT_01,PASS,SPC_ANHIMA_CORNUTA,BEAST_SPECIES,R01,R01_B01,PASS,personalityId,PASS,EVD_JRN_R01_B01_SPC_ANHIMA_CORNUTA_PERSONALITY_ID_001,JRN_R01_B01_SPC_ANHIMA_CORNUTA_PERSONALITY_ID_001,SRC_R01_B01_004,CIT_JRN_R01_B01_SPC_ANHIMA_CORNUTA_PERSONALITY_ID_001,,,PASS,BRD_HORNED_SCREAMER,BRD_HORNED_SCREAMER,
AUDIT_01,PASS,SPC_ANHIMA_CORNUTA,BEAST_SPECIES,R01,R01_B01,PASS,terrainBroad,PASS,EVD_JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_BROAD_001,JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_BROAD_001,SRC_R01_B01_004,CIT_JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_BROAD_001,,,PASS,BRD_HORNED_SCREAMER,BRD_HORNED_SCREAMER,
AUDIT_01,PASS,SPC_ANHIMA_CORNUTA,BEAST_SPECIES,R01,R01_B01,PASS,terrainSpecific,PASS,EVD_JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_SPECIFIC_001,JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_SPECIFIC_001,SRC_R01_B01_004,CIT_JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_SPECIFIC_001,,,PASS,BRD_HORNED_SCREAMER,BRD_HORNED_SCREAMER,
AUDIT_01,PASS,SPC_ANHINGA_ANHINGA,BEAST_SPECIES,R01,R01_B01,PASS,personalityId,PASS,EVD_JRN_R01_B01_SPC_ANHINGA_ANHINGA_PERSONALITY_001,JRN_R01_B01_SPC_ANHINGA_ANHINGA_PERSONALITY_001,SRC_R01_B01_005,CIT_JRN_R01_B01_SPC_ANHINGA_ANHINGA_PERSONALITY_001,,,PASS,BRD_ANHINGA,BRD_ANHINGA,
