researchUnitId,breedId,inheritanceRule,unitEvidenceRefs
SPC_ORYCTEROPUS_AFER,BRD_AARDVARK,EXACT_SPECIES,EVD_JRN_R11_B01_SPC_ORYCTEROPUS_AFER_PERSONALITY_ID_001 | EVD_JRN_R11_B01_SPC_ORYCTEROPUS_AFER_TERRAIN_BROAD_001 | EVD_JRN_R11_B01_SPC_ORYCTEROPUS_AFER_TERRAIN_SPECIFIC_001
SPC_PROTELES_CRISTATA,BRD_AARDWOLF,EXACT_SPECIES,EVD_JRN_R02_B02_SPC_PROTELES_CRISTATA_PERSONALITY_ID_001 | EVD_JRN_R02_B02_SPC_PROTELES_CRISTATA_TERRAIN_BROAD_001 | EVD_JRN_R02_B02_SPC_PROTELES_CRISTATA_TERRAIN_SPECIFIC_001
SPC_MELANERPES_FORMICIVORUS,BRD_ACORN_WOODPECKER,EXACT_SPECIES,EVD_JRN_R22_B01_SPC_MELANERPES_FORMICIVORUS_PERSONALITY_ID_001 | EVD_JRN_R22_B01_SPC_MELANERPES_FORMICIVORUS_TERRAIN_BROAD_001 | EVD_JRN_R22_B01_SPC_MELANERPES_FORMICIVORUS_TERRAIN_SPECIFIC_001
SPC_AQUASPIRITUS_ADARO,BRD_ADARO,EXACT_TRADITION,EVD_JRN_R04_B01_SPC_AQUASPIRITUS_ADARO_PERSONALITY_ID_001 | EVD_JRN_R04_B01_SPC_AQUASPIRITUS_ADARO_TERRAIN_BROAD_001 | EVD_JRN_R04_B01_SPC_AQUASPIRITUS_ADARO_TERRAIN_SPECIFIC_001
SPC_CHIMAERA_ADLET,BRD_ADLET,EXACT_TRADITION,EVD_JRN_R23_B01_SPC_CHIMAERA_ADLET_PERSONALITY_ID_001 | EVD_JRN_R23_B01_SPC_CHIMAERA_ADLET_TERRAIN_BROAD_001 | EVD_JRN_R23_B01_SPC_CHIMAERA_ADLET_TERRAIN_SPECIFIC_001
SPC_ATHERURUS_AFRICANUS,BRD_AFRICAN_BRUSH_TAILED_PORCUPINE,EXACT_SPECIES,EVD_JRN_R20_B01_SPC_ATHERURUS_AFRICANUS_PERSONALITY_ID_001 | EVD_JRN_R20_B01_SPC_ATHERURUS_AFRICANUS_TERRAIN_BROAD_001 | EVD_JRN_R20_B01_SPC_ATHERURUS_AFRICANUS_TERRAIN_SPECIFIC_001
SPC_CIVETTICTIS_CIVETTA,BRD_AFRICAN_CIVET,EXACT_SPECIES,EVD_JRN_R02_B01_SPC_CIVETTICTIS_CIVETTA_PERSONALITY_ID_001 | EVD_JRN_R02_B01_SPC_CIVETTICTIS_CIVETTA_TERRAIN_BROAD_001 | EVD_JRN_R02_B01_SPC_CIVETTICTIS_CIVETTA_TERRAIN_SPECIFIC_001
SPC_LOXODONTA_CYCLOTIS,BRD_AFRICAN_FOREST_ELEPHANT,EXACT_SPECIES,EVD_JRN_R11_B01_SPC_LOXODONTA_CYCLOTIS_PERSONALITY_ID_001 | EVD_JRN_R11_B01_SPC_LOXODONTA_CYCLOTIS_TERRAIN_BROAD_001 | EVD_JRN_R11_B01_SPC_LOXODONTA_CYCLOTIS_TERRAIN_SPECIFIC_001
SPC_PSITTACUS_ERITHACUS,BRD_AFRICAN_GREY_PARROT,EXACT_SPECIES,EVD_JRN_R19_B01_SPC_PSITTACUS_ERITHACUS_PERSONALITY_ID_001 | EVD_JRN_R19_B01_SPC_PSITTACUS_ERITHACUS_TERRAIN_BROAD_001 | EVD_JRN_R19_B01_SPC_PSITTACUS_ERITHACUS_TERRAIN_SPECIFIC_001
SPC_TRICHECHUS_SENEGALENSIS,BRD_AFRICAN_MANATEE,EXACT_SPECIES,EVD_JRN_R11_B01_SPC_TRICHECHUS_SENEGALENSIS_PERSONALITY_ID_001 | EVD_JRN_R11_B01_SPC_TRICHECHUS_SENEGALENSIS_TERRAIN_BROAD_001 | EVD_JRN_R11_B01_SPC_TRICHECHUS_SENEGALENSIS_TERRAIN_SPECIFIC_001
SPC_MACROTERMES_BELLICOSUS,BRD_AFRICAN_MOUND_BUILDING_TERMITE,EXACT_SPECIES,EVD_JRN_R25_B01_SPC_MACROTERMES_BELLICOSUS_PERSONALITY_ID_001 | EVD_JRN_R25_B01_SPC_MACROTERMES_BELLICOSUS_TERRAIN_BROAD_001 | EVD_JRN_R25_B01_SPC_MACROTERMES_BELLICOSUS_TERRAIN_SPECIFIC_001
SPC_MOTACILLA_AGUIMP,BRD_AFRICAN_PIED_WAGTAIL,EXACT_SPECIES,EVD_JRN_R08_B01_SPC_MOTACILLA_AGUIMP_PERSONALITY_ID_001 | EVD_JRN_R08_B01_SPC_MOTACILLA_AGUIMP_TERRAIN_BROAD_001 | EVD_JRN_R08_B01_SPC_MOTACILLA_AGUIMP_TERRAIN_SPECIFIC_001
SPC_MYOSCIURUS_PUMILIO,BRD_AFRICAN_PYGMY_SQUIRREL,EXACT_SPECIES,EVD_JRN_R20_B01_SPC_MYOSCIURUS_PUMILIO_PERSONALITY_ID_001 | EVD_JRN_R20_B01_SPC_MYOSCIURUS_PUMILIO_TERRAIN_BROAD_001 | EVD_JRN_R20_B01_SPC_MYOSCIURUS_PUMILIO_TERRAIN_SPECIFIC_001
SPC_LOXODONTA_AFRICANA,BRD_AFRICAN_SAVANNA_ELEPHANT,EXACT_SPECIES,EVD_JRN_R11_B01_SPC_LOXODONTA_AFRICANA_PERSONALITY_ID_001 | EVD_JRN_R11_B01_SPC_LOXODONTA_AFRICANA_TERRAIN_BROAD_001 | EVD_JRN_R11_B01_SPC_LOXODONTA_AFRICANA_TERRAIN_SPECIFIC_001
SPC_CENTROCHELYS_SULCATA,BRD_AFRICAN_SPURRED_TORTOISE,EXACT_SPECIES,EVD_JRN_R04_B01_SPC_CENTROCHELYS_SULCATA_PERSONALITY_ID_001 | EVD_JRN_R04_B01_SPC_CENTROCHELYS_SULCATA_TERRAIN_BROAD_001 | EVD_JRN_R04_B01_SPC_CENTROCHELYS_SULCATA_TERRAIN_SPECIFIC_001
SPC_EQUUS_AFRICANUS,BRD_AFRICAN_WILD_ASS,EXACT_SPECIES,EVD_JRN_R18_B01_SPC_EQUUS_AFRICANUS_PERSONALITY_ID_001 | EVD_JRN_R18_B01_SPC_EQUUS_AFRICANUS_TERRAIN_BROAD_001 | EVD_JRN_R18_B01_SPC_EQUUS_AFRICANUS_TERRAIN_SPECIFIC_001
SPC_LYCAON_PICTUS,BRD_AFRICAN_WILD_DOG,EXACT_SPECIES,EVD_JRN_R02_B01_SPC_LYCAON_PICTUS_PERSONALITY_ID_001 | EVD_JRN_R02_B01_SPC_LYCAON_PICTUS_TERRAIN_BROAD_001 | EVD_JRN_R02_B01_SPC_LYCAON_PICTUS_TERRAIN_SPECIFIC_001
SPC_MENURA_ALBERTI,BRD_ALBERT_S_LYREBIRD,EXACT_SPECIES,EVD_JRN_R08_B01_SPC_MENURA_ALBERTI_PERSONALITY_ID_001 | EVD_JRN_R08_B01_SPC_MENURA_ALBERTI_TERRAIN_BROAD_001 | EVD_JRN_R08_B01_SPC_MENURA_ALBERTI_TERRAIN_SPECIFIC_001
SPC_MEGACHILE_ROTUNDATA,BRD_ALFALFA_LEAFCUTTER_BEE,EXACT_SPECIES,EVD_JRN_R25_B02_SPC_MEGACHILE_ROTUNDATA_PERSONALITY_ID_001 | EVD_JRN_R25_B02_SPC_MEGACHILE_ROTUNDATA_TERRAIN_BROAD_001 | EVD_JRN_R25_B02_SPC_MEGACHILE_ROTUNDATA_TERRAIN_SPECIFIC_001
SPC_MACROCHELYS_TEMMINCKII,BRD_ALLIGATOR_SNAPPING_TURTLE,EXACT_SPECIES,EVD_JRN_R04_B01_SPC_MACROCHELYS_TEMMINCKII_PERSONALITY_ID_001 | EVD_JRN_R04_B01_SPC_MACROCHELYS_TEMMINCKII_TERRAIN_BROAD_001 | EVD_JRN_R04_B01_SPC_MACROCHELYS_TEMMINCKII_TERRAIN_SPECIFIC_001
SPC_CAPRA_IBEX,BRD_ALPINE_IBEX,EXACT_SPECIES,EVD_JRN_R02_B01_SPC_CAPRA_IBEX_PERSONALITY_ID_001 | EVD_JRN_R02_B01_SPC_CAPRA_IBEX_TERRAIN_BROAD_001 | EVD_JRN_R02_B01_SPC_CAPRA_IBEX_TERRAIN_SPECIFIC_001
SPC_MARMOTA_MARMOTA,BRD_ALPINE_MARMOT,EXACT_SPECIES,EVD_JRN_R20_B01_SPC_MARMOTA_MARMOTA_PERSONALITY_ID_001 | EVD_JRN_R20_B01_SPC_MARMOTA_MARMOTA_TERRAIN_BROAD_001 | EVD_JRN_R20_B01_SPC_MARMOTA_MARMOTA_TERRAIN_SPECIFIC_001
SPC_MOSCHUS_CHRYSOGASTER,BRD_ALPINE_MUSK_DEER,EXACT_SPECIES,EVD_JRN_R02_B01_SPC_MOSCHUS_CHRYSOGASTER_PERSONALITY_ID_001 | EVD_JRN_R02_B01_SPC_MOSCHUS_CHRYSOGASTER_TERRAIN_BROAD_001 | EVD_JRN_R02_B01_SPC_MOSCHUS_CHRYSOGASTER_TERRAIN_SPECIFIC_001
SPC_PARVULUS_ALUX,BRD_ALUX,EXACT_TRADITION,EVD_JRN_R03_B01_SPC_PARVULUS_ALUX_PERSONALITY_ID_001 | EVD_JRN_R03_B01_SPC_PARVULUS_ALUX_TERRAIN_BROAD_001 | EVD_JRN_R03_B01_SPC_PARVULUS_ALUX_TERRAIN_SPECIFIC_001
SPC_TRACHYCEPHALUS_RESINIFICTRIX,BRD_AMAZON_MILK_FROG,EXACT_SPECIES,EVD_JRN_R13_B01_SPC_TRACHYCEPHALUS_RESINIFICTRIX_PERSONALITY_ID_001 | EVD_JRN_R13_B01_SPC_TRACHYCEPHALUS_RESINIFICTRIX_TERRAIN_BROAD_001 | EVD_JRN_R13_B01_SPC_TRACHYCEPHALUS_RESINIFICTRIX_TERRAIN_SPECIFIC_001
SPC_INIA_GEOFFRENSIS,BRD_AMAZON_RIVER_DOLPHIN,EXACT_SPECIES,EVD_JRN_R01_B01_SPC_INIA_GEOFFRENSIS_PERSONALITY_ID_001 | EVD_JRN_R01_B01_SPC_INIA_GEOFFRENSIS_TERRAIN_BROAD_001 | EVD_JRN_R01_B01_SPC_INIA_GEOFFRENSIS_TERRAIN_SPECIFIC_001
SPC_SCOLOPENDRA_GIGANTEA,BRD_AMAZONIAN_GIANT_CENTIPEDE,EXACT_SPECIES,EVD_JRN_R25_B02_SPC_SCOLOPENDRA_GIGANTEA_PERSONALITY_ID_001 | EVD_JRN_R25_B02_SPC_SCOLOPENDRA_GIGANTEA_TERRAIN_BROAD_001 | EVD_JRN_R25_B02_SPC_SCOLOPENDRA_GIGANTEA_TERRAIN_SPECIFIC_001
SPC_TRICHECHUS_INUNGUIS,BRD_AMAZONIAN_MANATEE,EXACT_SPECIES,EVD_JRN_R11_B01_SPC_TRICHECHUS_INUNGUIS_PERSONALITY_ID_001 | EVD_JRN_R11_B01_SPC_TRICHECHUS_INUNGUIS_TERRAIN_BROAD_001 | EVD_JRN_R11_B01_SPC_TRICHECHUS_INUNGUIS_TERRAIN_SPECIFIC_001
