policyRef,personalityId,family,motivation,operatingStyle,structureOrientation,administrationMode,ownershipMode,allocationMode,legitimacyBasis,authoritySource,loquacity,emotionalTemperature,outlookOrientation,collaborativePosture,overriddenFields
PERSONALITY_PROFILE_DIMENSIONS_V1,ACCOUNTABILITY_CURSE_EXCUSE_CONFLICT,ACCOUNTABILITY,ALTRUISTIC,TEAMWORK,ORDERED,CENTRALIZED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,ACCOUNTABILITY_DENIED_HARM_WOUND,ACCOUNTABILITY,ALTRUISTIC,TEAMWORK,ORDERED,CENTRALIZED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,PESSIMISTIC,HELPFUL,outlookOrientation
PERSONALITY_PROFILE_DIMENSIONS_V1,ACCOUNTABILITY_ERROR_CORRECTION_EXPRESSION,ACCOUNTABILITY,ALTRUISTIC,TEAMWORK,ORDERED,CENTRALIZED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,ACCOUNTABILITY_SCAPEGOAT_WOUND,ACCOUNTABILITY,ALTRUISTIC,TEAMWORK,ORDERED,CENTRALIZED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_BETWEEN_STATES_CONFLICT,AMBIGUITY,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_BLESSING_CURSE_CONFLICT,AMBIGUITY,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_CONTEXT_SHIFTING_SIGNAL_EXPRESSION,AMBIGUITY,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_FRAGMENTED_RECORD_WOUND,AMBIGUITY,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_MIXED_STRATEGY_EXPRESSION,AMBIGUITY,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_ROLE_FLUID_EXPRESSION,AMBIGUITY,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
