evidenceId,researchUnitId,targetField,batchId,journalEntryId,researchedAt,sourceOpened,sourceUrl,sourceTitle,locator,boundedContext,sourceFact,normalizationBridge,generatedBy,citationId,sourceId,authorOrOrganization,publisher,stableUrlOrIdentifier,subjectAlignment,claimAlignment,citationBoundedContext,journalQuery,journalSearchResultChosen,journalActualOpenedUrl,journalAccepted,inheritedBreedCount,inheritedBreedIds
EVD_JRN_R01_B01_SPC_AIX_GALERICULATA_PERSONALITY_ID_001,SPC_AIX_GALERICULATA,personalityId,R01_B01,JRN_R01_B01_SPC_AIX_GALERICULATA_PERSONALITY_ID_001,2026-08-19T18:09:24Z,true,https://animaldiversity.org/accounts/Aix_galericulata/,Aix galericulata (Mandarin duck),Physical Description,In full plumage the male raises paired sail feathers vertically above the back and carries a conspicuous crest and eye stripe.,The species uses highly visible structural plumage in breeding presentation.,The exact species account documents conspicuous sail feathers raised above the back; this is a bounded observable visual expression without inferring inner psychology.,BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_AIX_GALERICULATA_PERSONALITY_ID_001,SRC_R01_B01_001,"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Aix_galericulata/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,In full plumage the male raises paired sail feathers vertically above the back and carries a conspicuous crest and eye stripe.,site:animaldiversity.org/accounts/Aix_galericulata Mandarin duck habitat behavior,Aix galericulata (Mandarin duck) | Animal Diversity Web,https://animaldiversity.org/accounts/Aix_galericulata/,true,1,BRD_MANDARIN_DUCK
EVD_JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_BROAD_001,SPC_AIX_GALERICULATA,terrainBroad,R01_B01,JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_BROAD_001,2026-08-19T18:09:24Z,true,https://animaldiversity.org/accounts/Aix_galericulata/,Aix galericulata (Mandarin duck),Habitat,Mandarin ducks live in forests of China and Japan and prefer wooded ponds and fast-flowing rocky streams.,Natural habitat combines forest and freshwater.,"Natural habitat combines forest and freshwater. Normalized only to controlled terrainBroad tokens: FOREST, FRESHWATER.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_BROAD_001,SRC_R01_B01_001,"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Aix_galericulata/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,Mandarin ducks live in forests of China and Japan and prefer wooded ponds and fast-flowing rocky streams.,site:animaldiversity.org/accounts/Aix_galericulata Mandarin duck habitat behavior,Aix galericulata (Mandarin duck) | Animal Diversity Web,https://animaldiversity.org/accounts/Aix_galericulata/,true,1,BRD_MANDARIN_DUCK
EVD_JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_SPECIFIC_001,SPC_AIX_GALERICULATA,terrainSpecific,R01_B01,JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_SPECIFIC_001,2026-08-19T18:09:24Z,true,https://animaldiversity.org/accounts/Aix_galericulata/,Aix galericulata (Mandarin duck),Habitat,The exact account names wooded ponds and fast-flowing rocky streams.,"Specific habitats include woodland, lakes or ponds, and rivers.","Specific habitats include woodland, lakes or ponds, and rivers. Normalized only to controlled terrainSpecific tokens: WOODLAND, LAKE, RIVER.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_SPECIFIC_001,SRC_R01_B01_001,"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Aix_galericulata/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,The exact account names wooded ponds and fast-flowing rocky streams.,site:animaldiversity.org/accounts/Aix_galericulata Mandarin duck habitat behavior,Aix galericulata (Mandarin duck) | Animal Diversity Web,https://animaldiversity.org/accounts/Aix_galericulata/,true,1,BRD_MANDARIN_DUCK
EVD_JRN_R01_B01_SPC_ALCA_TORDA_PERSONALITY_001,SPC_ALCA_TORDA,personalityId,R01_B01,JRN_R01_B01_SPC_ALCA_TORDA_PERSONALITY_001,2026-08-19T17:51:10Z,true,https://animaldiversity.org/accounts/Alca_torda/,Alca torda (razorbill),"Behavior, lines 116-124",The exact-species account reports common mutual preening between pairs and identifies the species as colonial.,Razorbill pairs commonly engage in mutual allopreening.,Common pair allopreening is a direct outward grooming-intimacy behavior; no inward psychology is inferred.,BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ALCA_TORDA_PERSONALITY_001,SRC_R01_B01_002,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Alca_torda/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,The exact-species account reports common mutual preening between pairs and identifies the species as colonial.,site:animaldiversity.org/accounts/Alca_torda Alca torda habitat behavior,Alca torda (razorbill) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Alca_torda/,true,1,BRD_RAZORBILL
EVD_JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_BROAD_001,SPC_ALCA_TORDA,terrainBroad,R01_B01,JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_BROAD_001,2026-08-19T17:51:10Z,true,https://animaldiversity.org/accounts/Alca_torda/,Alca torda (razorbill),"Habitat, lines 48-55",The account places breeding colonies on rocky coastal cliffs and offshore islands with immediate sea access.,Razorbills breed in rocky coastal cliff and offshore-island habitat.,Razorbills breed in rocky coastal cliff and offshore-island habitat. Normalized only to controlled terrainBroad tokens: COASTAL.,BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_BROAD_001,SRC_R01_B01_002,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Alca_torda/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,The account places breeding colonies on rocky coastal cliffs and offshore islands with immediate sea access.,site:animaldiversity.org/accounts/Alca_torda Alca torda habitat behavior,Alca torda (razorbill) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Alca_torda/,true,1,BRD_RAZORBILL
EVD_JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_SPECIFIC_001,SPC_ALCA_TORDA,terrainSpecific,R01_B01,JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_SPECIFIC_001,2026-08-19T17:51:10Z,true,https://animaldiversity.org/accounts/Alca_torda/,Alca torda (razorbill),"Habitat, lines 48-55","Breeding locations include cliff faces, rock crevices, and ledges in rocky coastal regions.",Coastal cliffs and ledges are exact breeding habitat for razorbills.,Coastal cliffs and ledges are exact breeding habitat for razorbills. Normalized only to controlled terrainSpecific tokens: COASTAL_CLIFF.,BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_SPECIFIC_001,SRC_R01_B01_002,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Alca_torda/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,"Breeding locations include cliff faces, rock crevices, and ledges in rocky coastal regions.",site:animaldiversity.org/accounts/Alca_torda Alca torda habitat behavior,Alca torda (razorbill) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Alca_torda/,true,1,BRD_RAZORBILL
EVD_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_PERSONALITY_ID_001,SPC_ANAS_PLATYRHYNCHOS,personalityId,R01_B01,JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_PERSONALITY_ID_001,2026-08-19T18:09:25Z,true,https://animaldiversity.org/accounts/Anas_platyrhynchos/,Anas platyrhynchos (mallard),Behavior,"After breeding, mallards form flocks and migrate from northern latitudes to warmer southern areas until breeding begins again.",The species carries out organized seasonal migration in flocks.,"The source documents seasonal flock migration from northern latitudes to warmer southern areas, directly supporting an observable migration expression.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_PERSONALITY_ID_001,SRC_R01_B01_003,"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Anas_platyrhynchos/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,"After breeding, mallards form flocks and migrate from northern latitudes to warmer southern areas until breeding begins again.",site:animaldiversity.org/accounts/Anas_platyrhynchos mallard habitat behavior,Anas platyrhynchos (mallard) | Animal Diversity Web,https://animaldiversity.org/accounts/Anas_platyrhynchos/,true,1,BRD_MALLARD
EVD_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_BROAD_001,SPC_ANAS_PLATYRHYNCHOS,terrainBroad,R01_B01,JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_BROAD_001,2026-08-19T18:09:25Z,true,https://animaldiversity.org/accounts/Anas_platyrhynchos/,Anas platyrhynchos (mallard),Habitat,"Mallards most often prefer wetlands and also occupy lakes, ponds, rivers, streams, and coastal waters.","Natural habitat includes wetlands, freshwater, and coastal waters.","Natural habitat includes wetlands, freshwater, and coastal waters. Normalized only to controlled terrainBroad tokens: WETLAND, FRESHWATER, COASTAL.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_BROAD_001,SRC_R01_B01_003,"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Anas_platyrhynchos/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,"Mallards most often prefer wetlands and also occupy lakes, ponds, rivers, streams, and coastal waters.",site:animaldiversity.org/accounts/Anas_platyrhynchos mallard habitat behavior,Anas platyrhynchos (mallard) | Animal Diversity Web,https://animaldiversity.org/accounts/Anas_platyrhynchos/,true,1,BRD_MALLARD
EVD_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_SPECIFIC_001,SPC_ANAS_PLATYRHYNCHOS,terrainSpecific,R01_B01,JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_SPECIFIC_001,2026-08-19T18:09:25Z,true,https://animaldiversity.org/accounts/Anas_platyrhynchos/,Anas platyrhynchos (mallard),Habitat,"The account lists lakes and ponds, rivers and streams, and coastal habitat.","Specific habitat includes lakes, ponds, and rivers.","Specific habitat includes lakes, ponds, and rivers. Normalized only to controlled terrainSpecific tokens: LAKE, POND, RIVER.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_SPECIFIC_001,SRC_R01_B01_003,"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Anas_platyrhynchos/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,"The account lists lakes and ponds, rivers and streams, and coastal habitat.",site:animaldiversity.org/accounts/Anas_platyrhynchos mallard habitat behavior,Anas platyrhynchos (mallard) | Animal Diversity Web,https://animaldiversity.org/accounts/Anas_platyrhynchos/,true,1,BRD_MALLARD
EVD_JRN_R01_B01_SPC_ANHIMA_CORNUTA_PERSONALITY_ID_001,SPC_ANHIMA_CORNUTA,personalityId,R01_B01,JRN_R01_B01_SPC_ANHIMA_CORNUTA_PERSONALITY_ID_001,2026-08-19T18:08:00Z,true,https://animaldiversity.org/accounts/Anhima_cornuta/,Anhima cornuta (horned screamer),Behavior,"When an intruder enters occupied territory, resident horned screamers gang up and act together against it.",Residents coordinate group defense against intruders.,"The account describes multiple residents joining to repel intruders, an observable group-defense behavior.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANHIMA_CORNUTA_PERSONALITY_ID_001,SRC_R01_B01_004,"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Anhima_cornuta/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,"When an intruder enters occupied territory, resident horned screamers gang up and act together against it.",site:animaldiversity.org/accounts/Anhima_cornuta horned screamer habitat behavior,Anhima cornuta (horned screamer) | Animal Diversity Web,https://animaldiversity.org/accounts/Anhima_cornuta/,true,1,BRD_HORNED_SCREAMER
