journalEntryId,batchId,targetUnitId,targetField,timestamp,query,searchResultChosen,actualOpenedUrl,sourceOpened,accepted,rejectionReason,title,organization,publisher,locator,boundedContext,sourceFact
JRN_R01_B01_SPC_AIX_GALERICULATA_PERSONALITY_ID_001,R01_B01,SPC_AIX_GALERICULATA,personalityId,2026-08-19T18:09:24Z,site:animaldiversity.org/accounts/Aix_galericulata Mandarin duck habitat behavior,Aix galericulata (Mandarin duck) | Animal Diversity Web,https://animaldiversity.org/accounts/Aix_galericulata/,true,true,,Aix galericulata (Mandarin duck),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,Physical Description,In full plumage the male raises paired sail feathers vertically above the back and carries a conspicuous crest and eye stripe.,The species uses highly visible structural plumage in breeding presentation.
JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_BROAD_001,R01_B01,SPC_AIX_GALERICULATA,terrainBroad,2026-08-19T18:09:24Z,site:animaldiversity.org/accounts/Aix_galericulata Mandarin duck habitat behavior,Aix galericulata (Mandarin duck) | Animal Diversity Web,https://animaldiversity.org/accounts/Aix_galericulata/,true,true,,Aix galericulata (Mandarin duck),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,Habitat,Mandarin ducks live in forests of China and Japan and prefer wooded ponds and fast-flowing rocky streams.,Natural habitat combines forest and freshwater.
JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_SPECIFIC_001,R01_B01,SPC_AIX_GALERICULATA,terrainSpecific,2026-08-19T18:09:24Z,site:animaldiversity.org/accounts/Aix_galericulata Mandarin duck habitat behavior,Aix galericulata (Mandarin duck) | Animal Diversity Web,https://animaldiversity.org/accounts/Aix_galericulata/,true,true,,Aix galericulata (Mandarin duck),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,Habitat,The exact account names wooded ponds and fast-flowing rocky streams.,"Specific habitats include woodland, lakes or ponds, and rivers."
JRN_R01_B01_SPC_ALCA_TORDA_PERSONALITY_001,R01_B01,SPC_ALCA_TORDA,personalityId,2026-08-19T17:51:10Z,site:animaldiversity.org/accounts/Alca_torda Alca torda habitat behavior,Alca torda (razorbill) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Alca_torda/,true,true,,Alca torda (razorbill),University of Michigan Museum of Zoology,Animal Diversity Web,"Behavior, lines 116-124",The exact-species account reports common mutual preening between pairs and identifies the species as colonial.,Razorbill pairs commonly engage in mutual allopreening.
JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_BROAD_001,R01_B01,SPC_ALCA_TORDA,terrainBroad,2026-08-19T17:51:10Z,site:animaldiversity.org/accounts/Alca_torda Alca torda habitat behavior,Alca torda (razorbill) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Alca_torda/,true,true,,Alca torda (razorbill),University of Michigan Museum of Zoology,Animal Diversity Web,"Habitat, lines 48-55",The account places breeding colonies on rocky coastal cliffs and offshore islands with immediate sea access.,Razorbills breed in rocky coastal cliff and offshore-island habitat.
JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_SPECIFIC_001,R01_B01,SPC_ALCA_TORDA,terrainSpecific,2026-08-19T17:51:10Z,site:animaldiversity.org/accounts/Alca_torda Alca torda habitat behavior,Alca torda (razorbill) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Alca_torda/,true,true,,Alca torda (razorbill),University of Michigan Museum of Zoology,Animal Diversity Web,"Habitat, lines 48-55","Breeding locations include cliff faces, rock crevices, and ledges in rocky coastal regions.",Coastal cliffs and ledges are exact breeding habitat for razorbills.
JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_PERSONALITY_ID_001,R01_B01,SPC_ANAS_PLATYRHYNCHOS,personalityId,2026-08-19T18:09:25Z,site:animaldiversity.org/accounts/Anas_platyrhynchos mallard habitat behavior,Anas platyrhynchos (mallard) | Animal Diversity Web,https://animaldiversity.org/accounts/Anas_platyrhynchos/,true,true,,Anas platyrhynchos (mallard),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,Behavior,"After breeding, mallards form flocks and migrate from northern latitudes to warmer southern areas until breeding begins again.",The species carries out organized seasonal migration in flocks.
JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_BROAD_001,R01_B01,SPC_ANAS_PLATYRHYNCHOS,terrainBroad,2026-08-19T18:09:25Z,site:animaldiversity.org/accounts/Anas_platyrhynchos mallard habitat behavior,Anas platyrhynchos (mallard) | Animal Diversity Web,https://animaldiversity.org/accounts/Anas_platyrhynchos/,true,true,,Anas platyrhynchos (mallard),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,Habitat,"Mallards most often prefer wetlands and also occupy lakes, ponds, rivers, streams, and coastal waters.","Natural habitat includes wetlands, freshwater, and coastal waters."
JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_SPECIFIC_001,R01_B01,SPC_ANAS_PLATYRHYNCHOS,terrainSpecific,2026-08-19T18:09:25Z,site:animaldiversity.org/accounts/Anas_platyrhynchos mallard habitat behavior,Anas platyrhynchos (mallard) | Animal Diversity Web,https://animaldiversity.org/accounts/Anas_platyrhynchos/,true,true,,Anas platyrhynchos (mallard),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,Habitat,"The account lists lakes and ponds, rivers and streams, and coastal habitat.","Specific habitat includes lakes, ponds, and rivers."
JRN_R01_B01_SPC_ANHIMA_CORNUTA_PERSONALITY_ID_001,R01_B01,SPC_ANHIMA_CORNUTA,personalityId,2026-08-19T18:08:00Z,site:animaldiversity.org/accounts/Anhima_cornuta horned screamer habitat behavior,Anhima cornuta (horned screamer) | Animal Diversity Web,https://animaldiversity.org/accounts/Anhima_cornuta/,true,true,,Anhima cornuta (horned screamer),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,Behavior,"When an intruder enters occupied territory, resident horned screamers gang up and act together against it.",Residents coordinate group defense against intruders.
