sourceId,title,authorOrOrganization,publisher,stableUrlOrIdentifier,sourceOpened
SRC_R01_B01_001,Aix galericulata (Mandarin duck),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Aix_galericulata/,true
SRC_R01_B01_002,Alca torda (razorbill),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Alca_torda/,true
SRC_R01_B01_003,Anas platyrhynchos (mallard),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Anas_platyrhynchos/,true
SRC_R01_B01_004,Anhima cornuta (horned screamer),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Anhima_cornuta/,true
SRC_R01_B01_005,Anhinga anhinga (anhinga),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anhinga_anhinga/,true
SRC_R01_B01_006,Anser canagicus (Emperor goose),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anser_canagicus/,true
SRC_R01_B01_007,Anser indicus (bar-headed goose),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anser_indicus/,true
SRC_R01_B01_008,Anthropoides virgo (demoiselle crane),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anthropoides_virgo/,true
SRC_R01_B01_009,Aptenodytes forsteri (emperor penguin),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Aptenodytes_forsteri/,true
SRC_R01_B01_010,Aptenodytes patagonicus (king penguin),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Aptenodytes_patagonicus/,true
SRC_R01_B01_011,Ardea alba (great egret),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Ardea_alba/,true
SRC_R01_B01_012,Ardea herodias (great blue heron),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Ardea_herodias/,true
SRC_R01_B01_013,Balaeniceps rex (shoebill),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Balaeniceps_rex/,true
SRC_R01_B01_014,Balearica regulorum (grey crowned crane),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Balearica_regulorum/,true
SRC_R01_B01_015,Biziura lobata (musk duck),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Biziura_lobata/,true
SRC_R01_B01_016,Botaurus stellaris (Eurasian bittern),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Botaurus_stellaris/,true
SRC_R01_B01_017,Cephalorhynchus commersonii (Commerson's dolphin),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Cephalorhynchus_commersonii/,true
SRC_R01_B01_018,Charadrius vociferus (killdeer),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Charadrius_vociferus/,true
SRC_R01_B01_019,Chauna torquata (southern screamer),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Chauna_torquata/,true
SRC_R01_B01_020,Ciconia ciconia (white stork),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Ciconia_ciconia/,true
SRC_R01_B01_021,Cygnus atratus (black swan),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Cygnus_atratus/,true
SRC_R01_B01_022,Cygnus olor (mute swan),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Cygnus_olor/,true
SRC_R01_B01_023,Delphinapterus leucas (beluga),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Delphinapterus_leucas/,true
SRC_R01_B01_024,Delphinus delphis (short-beaked common dolphin),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Delphinus_delphis/,true
SRC_R01_B01_025,Diomedea exulans (wandering albatross),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Diomedea_exulans/,true
SRC_R01_B01_026,Eudocimus ruber (scarlet ibis),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Eudocimus_ruber/,true
SRC_R01_B01_027,Fregata magnificens (magnificent frigatebird),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Fregata_magnificens/,true
SRC_R01_B01_028,Fregata minor (great frigatebird),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Fregata_minor/,true
SRC_R01_B01_029,Gallinago gallinago (common snipe),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Gallinago_gallinago/,true
SRC_R01_B01_030,Globicephala melas (long-finned pilot whale),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Globicephala_melas/,true
SRC_R01_B01_031,Grampus griseus (Risso's dolphin),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Grampus_griseus/,true
SRC_R01_B01_032,Grus antigone (Sarus crane),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Grus_antigone/,true
SRC_R01_B01_033,Grus canadensis (sandhill crane),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Grus_canadensis/,true
SRC_R01_B01_034,Hyperoodon ampullatus (northern bottlenose whale),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Hyperoodon_ampullatus/,true
SRC_R01_B01_035,Inia geoffrensis (Amazon river dolphin),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Inia_geoffrensis/,true
SRC_R01_B01_036,Jabiru mycteria (jabiru),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Jabiru_mycteria/,true
SRC_R01_B01_037,Jacana spinosa (northern jacana),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Jacana_spinosa/,true
SRC_R01_B01_038,Larus argentatus (herring gull),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Larus_argentatus/,true
SRC_R01_B01_039,Leptoptilos crumeniferus (marabou),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Leptoptilos_crumeniferus/,true
SRC_R01_B01_040,Monodon monoceros (narwhal),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Monodon_monoceros/,true
SRC_R01_B01_041,Neophocaena phocaenoides (finless porpoise),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Neophocaena_phocaenoides/,true
SRC_R01_B01_042,Orcaella brevirostris (Irrawaddy dolphin),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Orcaella_brevirostris/,true
