researchUnitId,unitType,populationKind,initialRegion,groupIds,breedIds,personalityId,terrainBroad,terrainSpecific,status,evidenceRefs,inheritedBreedCount,inheritedBreedIds
CLT_ABORIGINAL_AUSTRALIAN,HUMAN_CULTURE,HUMAN,R22,H03,BRD_HUMAN_ABORIGINAL_AUSTRALIAN_ABORIGINAL_AUSTRALIAN | BRD_HUMAN_ABORIGINAL_AUSTRALIAN_YOLNGU,BOUNDARIES_DOMAIN_BOUND_CONFLICT,GENERALIST,GENERALIST,SIMULATION_READY,EVD_JRN_R22_B01_CLT_ABORIGINAL_AUSTRALIAN_PERSONALITY_ID_001 | EVD_JRN_R22_B01_CLT_ABORIGINAL_AUSTRALIAN_TERRAIN_BROAD_001 | EVD_JRN_R22_B01_CLT_ABORIGINAL_AUSTRALIAN_TERRAIN_SPECIFIC_001,2,BRD_HUMAN_ABORIGINAL_AUSTRALIAN_ABORIGINAL_AUSTRALIAN | BRD_HUMAN_ABORIGINAL_AUSTRALIAN_YOLNGU
CLT_AFRICAN_AMERICAN,HUMAN_CULTURE,HUMAN,R17,H23,BRD_HUMAN_AFRICAN_AMERICAN_AFRICAN_AMERICAN | BRD_HUMAN_AFRICAN_AMERICAN_AMERICO_LIBERIAN,COLLECTIVE_MEMORY_LIVING_MEMORIAL_CONFLICT,BUILT_ENVIRONMENT | GRASSLAND | FOREST | COASTAL,CITY | VILLAGE | FARMLAND | FOREST_EDGE | COASTAL_CLIFF,SIMULATION_READY,EVD_JRN_R17_B01_CLT_AFRICAN_AMERICAN_PERSONALITY_ID_001 | EVD_JRN_R17_B01_CLT_AFRICAN_AMERICAN_TERRAIN_BROAD_001 | EVD_JRN_R17_B01_CLT_AFRICAN_AMERICAN_TERRAIN_SPECIFIC_001,2,BRD_HUMAN_AFRICAN_AMERICAN_AFRICAN_AMERICAN | BRD_HUMAN_AFRICAN_AMERICAN_AMERICO_LIBERIAN
CLT_AFRIKANER,HUMAN_CULTURE,HUMAN,R18,H22,BRD_HUMAN_AFRIKANER_AFRIKANER,COLLECTIVE_MEMORY_LIVING_MEMORIAL_CONFLICT,GRASSLAND | DESERT | MOUNTAIN | COASTAL | BUILT_ENVIRONMENT,FARMLAND | PRAIRIE | SCRUBLAND | PLATEAU | COASTAL_CLIFF | CITY | VILLAGE,SIMULATION_READY,EVD_JRN_R18_B01_CLT_AFRIKANER_PERSONALITY_ID_001 | EVD_JRN_R18_B01_CLT_AFRIKANER_TERRAIN_BROAD_001 | EVD_JRN_R18_B01_CLT_AFRIKANER_TERRAIN_SPECIFIC_001,1,BRD_HUMAN_AFRIKANER_AFRIKANER
CLT_AFRO_LATIN_AMERICAN_AFRO_BAHIAN,HUMAN_CULTURE,HUMAN,R17,H23,BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_BAHIAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_COLOMBIAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_COSTA_RICAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_CUBAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_DOMINICAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_ECUADORIAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_PANAMANIAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_PUERTO_RICAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_TRINIDADIAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_URUGUAYAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_VENEZUELAN,POWER_COLONIAL_POWER_WOUND,COASTAL | OCEAN | BUILT_ENVIRONMENT,COASTAL_CLIFF | CITY,SIMULATION_READY,EVD_JRN_R17_B01_CLT_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_PERSONALITY_ID_001 | EVD_JRN_R17_B01_CLT_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_TERRAIN_BROAD_001 | EVD_JRN_R17_B01_CLT_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_TERRAIN_SPECIFIC_001,11,BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_BAHIAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_COLOMBIAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_COSTA_RICAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_CUBAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_DOMINICAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_ECUADORIAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_PANAMANIAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_PUERTO_RICAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_TRINIDADIAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_URUGUAYAN | BRD_HUMAN_AFRO_LATIN_AMERICAN_AFRO_BAHIAN_AFRO_VENEZUELAN
CLT_AINU,HUMAN_CULTURE,HUMAN,R08,H09,BRD_HUMAN_AINU_AINU,LAND_REMOVAL_WOUND,COASTAL | FOREST | MOUNTAIN,ISLAND | WOODLAND | ALPINE,SIMULATION_READY,EVD_JRN_R08_B01_CLT_AINU_PERSONALITY_ID_001 | EVD_JRN_R08_B01_CLT_AINU_TERRAIN_BROAD_001 | EVD_JRN_R08_B01_CLT_AINU_TERRAIN_SPECIFIC_001,1,BRD_HUMAN_AINU_AINU
CLT_ALBANIAN,HUMAN_CULTURE,HUMAN,R11,H01,BRD_HUMAN_ALBANIAN_ALBANIAN,COLLECTIVE_MEMORY_TECHNIQUE_TRADITION,BUILT_ENVIRONMENT,CITY | VILLAGE,SIMULATION_READY,EVD_JRN_R11_B01_CLT_ALBANIAN_PERSONALITY_ID_001 | EVD_JRN_R11_B01_CLT_ALBANIAN_TERRAIN_BROAD_001 | EVD_JRN_R11_B01_CLT_ALBANIAN_TERRAIN_SPECIFIC_001,1,BRD_HUMAN_ALBANIAN_ALBANIAN
CLT_AMAZIGH_BERBER,HUMAN_CULTURE,HUMAN,R11,H17,BRD_HUMAN_AMAZIGH_BERBER_AMAZIGH | BRD_HUMAN_AMAZIGH_BERBER_AMAZIGH_BERBER | BRD_HUMAN_AMAZIGH_BERBER_AMAZIGH_TUAREG | BRD_HUMAN_AMAZIGH_BERBER_TUAREG,COLLECTIVE_MEMORY_TECHNIQUE_TRADITION,MOUNTAIN | FOREST | GRASSLAND | FRESHWATER,ALPINE | WOODLAND | STEPPE | LAKE,SIMULATION_READY,EVD_JRN_R11_B01_CLT_AMAZIGH_BERBER_PERSONALITY_ID_001 | EVD_JRN_R11_B01_CLT_AMAZIGH_BERBER_TERRAIN_BROAD_001 | EVD_JRN_R11_B01_CLT_AMAZIGH_BERBER_TERRAIN_SPECIFIC_001,4,BRD_HUMAN_AMAZIGH_BERBER_AMAZIGH | BRD_HUMAN_AMAZIGH_BERBER_AMAZIGH_BERBER | BRD_HUMAN_AMAZIGH_BERBER_AMAZIGH_TUAREG | BRD_HUMAN_AMAZIGH_BERBER_TUAREG
CLT_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO,HUMAN_CULTURE,HUMAN,R23,H19,BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_AMAZONIAN | BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_AMAZONIAN_INDIGENOUS | BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_INDIGENOUS | BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_INDIGENOUS_SURINAMESE | BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_MARAJOARA | BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_SHIPIBO_KONIBO,LOYALTY_GROUP_ALLEGIANCE_EXPRESSION,FOREST | FRESHWATER | BUILT_ENVIRONMENT,RAIN_FOREST | RIVER | FLOODPLAIN | VILLAGE,SIMULATION_READY,EVD_JRN_R23_B01_CLT_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_PERSONALITY_ID_001 | EVD_JRN_R23_B01_CLT_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_TERRAIN_BROAD_001 | EVD_JRN_R23_B01_CLT_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_TERRAIN_SPECIFIC_001,6,BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_AMAZONIAN | BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_AMAZONIAN_INDIGENOUS | BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_INDIGENOUS | BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_INDIGENOUS_SURINAMESE | BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_MARAJOARA | BRD_HUMAN_AMAZONIAN_INDIGENOUS_MARAJOARA_SHIPIBO_SHIPIBO_KONIBO
CLT_ANCIENT_LEVANTINE_NABATAEAN_PHOENICIAN,HUMAN_CULTURE,HUMAN,R13,H13,BRD_HUMAN_ANCIENT_LEVANTINE_NABATAEAN_PHOENICIAN_NABATAEAN | BRD_HUMAN_ANCIENT_LEVANTINE_NABATAEAN_PHOENICIAN_PHOENICIAN_CARTHAGINIAN | BRD_HUMAN_ANCIENT_LEVANTINE_NABATAEAN_PHOENICIAN_TUNISIAN_ARAB,STEWARDSHIP_LIVING_SYSTEM_CONFLICT,DESERT | MOUNTAIN | BUILT_ENVIRONMENT,CANYON | PLATEAU | CITY | HOT_DESERT,SIMULATION_READY,EVD_JRN_R13_B01_CLT_ANCIENT_LEVANTINE_NABATAEAN_PHOENICIAN_PERSONALITY_ID_001 | EVD_JRN_R13_B01_CLT_ANCIENT_LEVANTINE_NABATAEAN_PHOENICIAN_TERRAIN_BROAD_001 | EVD_JRN_R13_B01_CLT_ANCIENT_LEVANTINE_NABATAEAN_PHOENICIAN_TERRAIN_SPECIFIC_001,3,BRD_HUMAN_ANCIENT_LEVANTINE_NABATAEAN_PHOENICIAN_NABATAEAN | BRD_HUMAN_ANCIENT_LEVANTINE_NABATAEAN_PHOENICIAN_PHOENICIAN_CARTHAGINIAN | BRD_HUMAN_ANCIENT_LEVANTINE_NABATAEAN_PHOENICIAN_TUNISIAN_ARAB
CLT_ANGLOPHONE_ATLANTIC_CREOLE_MAROON,HUMAN_CULTURE,HUMAN,R18,H22,BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_AFRO_GUYANESE | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_AFRO_VIRGIN_ISLANDER | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_ANGUILLAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_ANTIGUAN_BARBUDAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_BAHAMIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_BAJAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_BELIZEAN_KRIOL | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_BERMUDIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_BVI_CREOLE | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_CAYMANIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_GRENADIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_JAMAICAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_JAMAICAN_MAROON | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_KITTITIAN_NEVISIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_KRIO | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_MAROON | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_MONTSERRATIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_NICARAGUAN_CREOLE | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_SABAN_STATIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_SINT_MAARTENER | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_SURINAMESE_CREOLE | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_TURKS_CAICOS | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_VINCENTIAN,AUTONOMY_ENSLAVEMENT_WOUND,MOUNTAIN | FOREST | FRESHWATER | COASTAL,MONTANE_FOREST | CLOUD_FOREST | RAIN_FOREST | RIVER | COASTAL_CLIFF,SIMULATION_READY,EVD_JRN_R18_B01_CLT_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_PERSONALITY_ID_001 | EVD_JRN_R18_B01_CLT_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_TERRAIN_BROAD_001 | EVD_JRN_R18_B01_CLT_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_TERRAIN_SPECIFIC_001,23,BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_AFRO_GUYANESE | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_AFRO_VIRGIN_ISLANDER | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_ANGUILLAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_ANTIGUAN_BARBUDAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_BAHAMIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_BAJAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_BELIZEAN_KRIOL | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_BERMUDIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_BVI_CREOLE | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_CAYMANIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_GRENADIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_JAMAICAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_JAMAICAN_MAROON | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_KITTITIAN_NEVISIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_KRIO | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_MAROON | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_MONTSERRATIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_NICARAGUAN_CREOLE | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_SABAN_STATIAN | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_SINT_MAARTENER | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_SURINAMESE_CREOLE | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_TURKS_CAICOS | BRD_HUMAN_ANGLOPHONE_ATLANTIC_CREOLE_MAROON_VINCENTIAN
