poiId,simulatorName,atlasName,classification,simulatorBefore,activeAtlas,databaseAfter,fieldsChanged,authorityUsed,notes
"POI-001","Visible Major Waterfall","Visible Major Waterfall","EXACT_MATCH","{""poiType"":""WATERFALL"",""latitude"":28.960942,""longitude"":-102.70767,""siteId"":""SITE-035"",""regionId"":""R05"",""surfaceType"":""LAND"",""hostFeatureId"":""WATERFALL-NW-01"",""primaryBiomeId"":""BIOME-06""}","{""poiType"":""WATERFALL"",""latitude"":28.960942,""longitude"":-102.70767,""regionId"":""R05""}","{""poiType"":""WATERFALL"",""latitude"":28.960942,""longitude"":-102.70767,""siteId"":""SITE-035"",""regionId"":""R05"",""surfaceType"":""LAND"",""hostFeatureId"":""WATERFALL-NW-01"",""primaryBiomeId"":""BIOME-06"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-002","Shadow Forest Heart","Shadow Forest Heart","EXACT_MATCH","{""poiType"":""SHADOW_FOREST"",""latitude"":20.375,""longitude"":-91.03125,""siteId"":""SITE-044"",""regionId"":""R07"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-05""}","{""poiType"":""SHADOW_FOREST"",""latitude"":20.375,""longitude"":-91.03125,""regionId"":""R07""}","{""poiType"":""SHADOW_FOREST"",""latitude"":20.375,""longitude"":-91.03125,""siteId"":""SITE-044"",""regionId"":""R07"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-05"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-003","Rainbow Heatherland Heart","Rainbow Heatherland Heart","EXACT_MATCH","{""poiType"":""HEATHERLANDS"",""latitude"":43.125,""longitude"":-126.96875,""siteId"":""SITE-017"",""regionId"":""R03"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-03""}","{""poiType"":""HEATHERLANDS"",""latitude"":43.125,""longitude"":-126.96875,""regionId"":""R03""}","{""poiType"":""HEATHERLANDS"",""latitude"":43.125,""longitude"":-126.96875,""siteId"":""SITE-017"",""regionId"":""R03"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-03"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-004","Eastern Great Reef","Eastern Great Reef","EXACT_MATCH","{""poiType"":""REEF"",""latitude"":43.122886,""longitude"":121.880496,""siteId"":""SITE-079"",""regionId"":""R12"",""surfaceType"":""SHALLOW_WATER"",""hostFeatureId"":""REEF-EA-01"",""primaryBiomeId"":""BIOME-OCEAN""}","{""poiType"":""REEF"",""latitude"":43.122886,""longitude"":121.880496,""regionId"":""R12""}","{""poiType"":""REEF"",""latitude"":43.122886,""longitude"":121.880496,""siteId"":""SITE-079"",""regionId"":""R12"",""surfaceType"":""SHALLOW_WATER"",""hostFeatureId"":""REEF-EA-01"",""primaryBiomeId"":""BIOME-OCEAN"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-005","Visible Volcanic Island Chain","Visible Volcanic Island Chain","EXACT_MATCH","{""poiType"":""VOLCANIC_ISLAND_CHAIN"",""latitude"":-52.559188,""longitude"":74.983089,""siteId"":""SITE-145"",""regionId"":""R21"",""surfaceType"":""COASTAL_LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-11""}","{""poiType"":""VOLCANIC_ISLAND_CHAIN"",""latitude"":-52.559188,""longitude"":74.983089,""regionId"":""R21""}","{""poiType"":""VOLCANIC_ISLAND_CHAIN"",""latitude"":-52.559188,""longitude"":74.983089,""siteId"":""SITE-145"",""regionId"":""R21"",""surfaceType"":""COASTAL_LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-11"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-006","Great Pit","Great Pit","EXACT_MATCH","{""poiType"":""GREAT_PIT"",""latitude"":25.062007,""longitude"":-69.40248,""siteId"":""SITE-029"",""regionId"":""R05"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-05""}","{""poiType"":""GREAT_PIT"",""latitude"":25.062007,""longitude"":-69.40248,""regionId"":""R05""}","{""poiType"":""GREAT_PIT"",""latitude"":25.062007,""longitude"":-69.40248,""siteId"":""SITE-029"",""regionId"":""R05"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-05"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-007","World Tree","World Tree","EXACT_MATCH","{""poiType"":""WORLD_TREE"",""latitude"":26.076663,""longitude"":102.074408,""siteId"":""SITE-081"",""regionId"":""R12"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-07""}","{""poiType"":""WORLD_TREE"",""latitude"":26.076663,""longitude"":102.074408,""regionId"":""R12""}","{""poiType"":""WORLD_TREE"",""latitude"":26.076663,""longitude"":102.074408,""siteId"":""SITE-081"",""regionId"":""R12"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-07"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-008","Heavenfall","Heavenfall","INVALID_GEOGRAPHY","{""poiType"":""HEAVENFALL"",""latitude"":46.369786,""longitude"":-3.449831,""siteId"":""SITE-104"",""regionId"":""R15"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN""}","{""poiType"":""HEAVENFALL"",""latitude"":46.369786,""longitude"":-3.449831,""regionId"":""R15""}","{""poiType"":""HEAVENFALL"",""latitude"":46.369786,""longitude"":-3.449831,""siteId"":""SITE-104"",""regionId"":""R15"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN"",""placementStatus"":""WITHHELD_CONFLICT"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2:WITHHELD_CONFLICT","Declared LAND coordinate resolves to Nimbus open ocean; no authoritative replacement anchor exists."
"POI-009","Hell Door","Hell Door","INVALID_GEOGRAPHY","{""poiType"":""HELL_DOOR"",""latitude"":-17.553551,""longitude"":8.726043,""siteId"":""SITE-127"",""regionId"":""R19"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN""}","{""poiType"":""HELL_DOOR"",""latitude"":-17.553551,""longitude"":8.726043,""regionId"":""R19""}","{""poiType"":""HELL_DOOR"",""latitude"":-17.553551,""longitude"":8.726043,""siteId"":""SITE-127"",""regionId"":""R19"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN"",""placementStatus"":""WITHHELD_CONFLICT"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2:WITHHELD_CONFLICT","Declared LAND coordinate resolves to Nimbus open ocean; no authoritative replacement anchor exists."
"POI-010","Eastern Maelstrom","Eastern Maelstrom","EXACT_MATCH","{""poiType"":""MAELSTROM"",""latitude"":10.856821,""longitude"":146.719278,""siteId"":""SITE-084"",""regionId"":""R12"",""surfaceType"":""OPEN_WATER"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN""}","{""poiType"":""MAELSTROM"",""latitude"":10.856821,""longitude"":146.719278,""regionId"":""R12""}","{""poiType"":""MAELSTROM"",""latitude"":10.856821,""longitude"":146.719278,""siteId"":""SITE-084"",""regionId"":""R12"",""surfaceType"":""OPEN_WATER"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
