"corridorId","Region A","Region A name","Region A continent","Region B","Region B name","Region B continent","canonical directed edges","same-continent / intercontinental","nearby Sites","founded Settlements where available","nearby physical POIs","current route mode","portal capability","trade designation","proposed owner primaryMode","proposed owner infrastructureClass","proposed owner portalCapability","proposed owner tradeDesignation","notes"
"ROUTE_CORRIDOR_R01_R03","R01","Icewake","Northwestern","R03","Highsteppe","Northwestern","R01>R03 | R03>R01","SAME-CONTINENT","SITE-001 (Anseris) | SITE-002 | SITE-003 | SITE-004 | SITE-005 | SITE-006 | SITE-007 | SITE-015 (High Torven) | SITE-016 | SITE-017 | SITE-018 | SITE-019 | SITE-020 | SITE-021","CONCORD:SETTLEMENT_CONCORD_SITE-001@SITE-001 | CONCORD:SETTLEMENT_CONCORD_SITE-015@SITE-015 | RUIN:SETTLEMENT_RUIN_SITE-001@SITE-001 | RUIN:SETTLEMENT_RUIN_SITE-015@SITE-015 | SCHISM:SETTLEMENT_SCHISM_SITE-001@SITE-001 | SCHISM:SETTLEMENT_SCHISM_SITE-015@SITE-015","POI-003 [HEATHERLANDS] working reference: Rainbow Heatherland Heart | POI-019 [PEAK] working reference: High North Peak | POI-020 [PEAK] working reference: Central Spine Peak | POI-042 [RIVER] working reference: Northeast Wetland Feeder River | POI-050 [FOREST] working reference: Northwestern Greatwood | POI-063 [HILLS] working reference: Heather Hills | POI-068 [GLACIER] working reference: Northern Crown Glacier | POI-086 [PLATEAU] working reference: Northern Glacial Upland","UNRESOLVED / UNRESOLVED","false","false","","","","","OWNER_APPROVAL_REQUIRED; allowed classifications: LAND / ROAD, LAND / HIGHWAY, SEA / SEA_ROUTE, AIR / AIRSHIP_ROUTE, PORTAL_ONLY. Do not infer unresolved modes."
"ROUTE_CORRIDOR_R01_R04","R01","Icewake","Northwestern","R04","Rivergrass","Northwestern","R01>R04 | R04>R01","SAME-CONTINENT","SITE-001 (Anseris) | SITE-002 | SITE-003 | SITE-004 | SITE-005 | SITE-006 | SITE-007 | SITE-022 (Suro Mara) | SITE-023 | SITE-024 | SITE-025 | SITE-026 | SITE-027 | SITE-028","CONCORD:SETTLEMENT_CONCORD_SITE-001@SITE-001 | CONCORD:SETTLEMENT_CONCORD_SITE-022@SITE-022 | RUIN:SETTLEMENT_RUIN_SITE-001@SITE-001 | RUIN:SETTLEMENT_RUIN_SITE-022@SITE-022 | SCHISM:SETTLEMENT_SCHISM_SITE-001@SITE-001 | SCHISM:SETTLEMENT_SCHISM_SITE-022@SITE-022","POI-018 [MOUNTAIN_RANGE] working reference: Northwestern Spine Range | POI-040 [LAKE] working reference: Northwestern Great Lake | POI-042 [RIVER] working reference: Northeast Wetland Feeder River | POI-043 [RIVER] working reference: Eastern Wetland Outflow | POI-044 [RIVER] working reference: Waterfall River | POI-068 [GLACIER] working reference: Northern Crown Glacier | POI-070 [RAPIDS] working reference: Waterfall River Rapids | POI-077 [WETLAND] working reference: Northwestern Reedlands | POI-086 [PLATEAU] working reference: Northern Glacial Upland","UNRESOLVED / UNRESOLVED","false","false","","","","","OWNER_APPROVAL_REQUIRED; allowed classifications: LAND / ROAD, LAND / HIGHWAY, SEA / SEA_ROUTE, AIR / AIRSHIP_ROUTE, PORTAL_ONLY. Do not infer unresolved modes."
"ROUTE_CORRIDOR_R01_R05","R01","Icewake","Northwestern","R05","Shadowspine","Northwestern","R01>R05 | R05>R01","SAME-CONTINENT","SITE-001 (Anseris) | SITE-002 | SITE-003 | SITE-004 | SITE-005 | SITE-006 | SITE-007 | SITE-029 (Crest Haven) | SITE-030 | SITE-031 | SITE-032 | SITE-033 | SITE-034 | SITE-035","CONCORD:SETTLEMENT_CONCORD_SITE-001@SITE-001 | CONCORD:SETTLEMENT_CONCORD_SITE-029@SITE-029 | RUIN:SETTLEMENT_RUIN_SITE-001@SITE-001 | RUIN:SETTLEMENT_RUIN_SITE-029@SITE-029 | SCHISM:SETTLEMENT_SCHISM_SITE-001@SITE-001 | SCHISM:SETTLEMENT_SCHISM_SITE-029@SITE-029","POI-001 [WATERFALL] working reference: Visible Major Waterfall | POI-006 [GREAT_PIT] working reference: Great Pit | POI-021 [PEAK] working reference: Southern Spine Peak | POI-042 [RIVER] working reference: Northeast Wetland Feeder River | POI-068 [GLACIER] working reference: Northern Crown Glacier | POI-086 [PLATEAU] working reference: Northern Glacial Upland | POI-089 [SEA] working reference: Meridian Sea","UNRESOLVED / UNRESOLVED","false","false","","","","","OWNER_APPROVAL_REQUIRED; allowed classifications: LAND / ROAD, LAND / HIGHWAY, SEA / SEA_ROUTE, AIR / AIRSHIP_ROUTE, PORTAL_ONLY. Do not infer unresolved modes."
"ROUTE_CORRIDOR_R02_R03","R02","Timbersteppe","Northwestern","R03","Highsteppe","Northwestern","R02>R03 | R03>R02","SAME-CONTINENT","SITE-008 (Lupin-Ghar) | SITE-009 | SITE-010 | SITE-011 | SITE-012 | SITE-013 | SITE-014 | SITE-015 (High Torven) | SITE-016 | SITE-017 | SITE-018 | SITE-019 | SITE-020 | SITE-021","CONCORD:SETTLEMENT_CONCORD_SITE-008@SITE-008 | CONCORD:SETTLEMENT_CONCORD_SITE-015@SITE-015 | RUIN:SETTLEMENT_RUIN_SITE-008@SITE-008 | RUIN:SETTLEMENT_RUIN_SITE-015@SITE-015 | SCHISM:SETTLEMENT_SCHISM_SITE-008@SITE-008 | SCHISM:SETTLEMENT_SCHISM_SITE-015@SITE-015","POI-003 [HEATHERLANDS] working reference: Rainbow Heatherland Heart | POI-019 [PEAK] working reference: High North Peak | POI-020 [PEAK] working reference: Central Spine Peak | POI-035 [HEATHERLANDS] working reference: Western Heatherlands | POI-050 [FOREST] working reference: Northwestern Greatwood | POI-058 [GRASSLAND] working reference: Westwind Grasslands | POI-063 [HILLS] working reference: Heather Hills | POI-076 [HILLS] working reference: Western Heather Hills","UNRESOLVED / UNRESOLVED","false","false","","","","","OWNER_APPROVAL_REQUIRED; allowed classifications: LAND / ROAD, LAND / HIGHWAY, SEA / SEA_ROUTE, AIR / AIRSHIP_ROUTE, PORTAL_ONLY. Do not infer unresolved modes."
"ROUTE_CORRIDOR_R02_R07","R02","Timbersteppe","Northwestern","R07","Duskcanopy","Northwestern","R02>R07 | R07>R02","SAME-CONTINENT","SITE-008 (Lupin-Ghar) | SITE-009 | SITE-010 | SITE-011 | SITE-012 | SITE-013 | SITE-014 | SITE-043 (Sanguin Bay) | SITE-044 | SITE-045 | SITE-046 | SITE-047 | SITE-048 | SITE-049","CONCORD:SETTLEMENT_CONCORD_SITE-008@SITE-008 | CONCORD:SETTLEMENT_CONCORD_SITE-043@SITE-043 | RUIN:SETTLEMENT_RUIN_SITE-008@SITE-008 | RUIN:SETTLEMENT_RUIN_SITE-043@SITE-043 | SCHISM:SETTLEMENT_SCHISM_SITE-008@SITE-008 | SCHISM:SETTLEMENT_SCHISM_SITE-043@SITE-043","POI-002 [SHADOW_FOREST] working reference: Shadow Forest Heart | POI-035 [HEATHERLANDS] working reference: Western Heatherlands | POI-037 [STEPPE] working reference: Northwestern Long Steppe | POI-058 [GRASSLAND] working reference: Westwind Grasslands | POI-061 [PLAINS] working reference: Northwestern Longplain | POI-076 [HILLS] working reference: Western Heather Hills","UNRESOLVED / UNRESOLVED","false","false","","","","","OWNER_APPROVAL_REQUIRED; allowed classifications: LAND / ROAD, LAND / HIGHWAY, SEA / SEA_ROUTE, AIR / AIRSHIP_ROUTE, PORTAL_ONLY. Do not infer unresolved modes."
"ROUTE_CORRIDOR_R02_R08","R02","Timbersteppe","Northwestern","R08","Shadeleaf","Northwestern","R02>R08 | R08>R02","SAME-CONTINENT","SITE-008 (Lupin-Ghar) | SITE-009 | SITE-010 | SITE-011 | SITE-012 | SITE-013 | SITE-014 | SITE-050 (Luminthalas) | SITE-051 | SITE-052 | SITE-053 | SITE-054 | SITE-055 | SITE-056","CONCORD:SETTLEMENT_CONCORD_SITE-008@SITE-008 | CONCORD:SETTLEMENT_CONCORD_SITE-050@SITE-050 | RUIN:SETTLEMENT_RUIN_SITE-008@SITE-008 | RUIN:SETTLEMENT_RUIN_SITE-050@SITE-050 | SCHISM:SETTLEMENT_SCHISM_SITE-008@SITE-008 | SCHISM:SETTLEMENT_SCHISM_SITE-050@SITE-050","POI-035 [HEATHERLANDS] working reference: Western Heatherlands | POI-058 [GRASSLAND] working reference: Westwind Grasslands | POI-076 [HILLS] working reference: Western Heather Hills","UNRESOLVED / UNRESOLVED","false","false","","","","","OWNER_APPROVAL_REQUIRED; allowed classifications: LAND / ROAD, LAND / HIGHWAY, SEA / SEA_ROUTE, AIR / AIRSHIP_ROUTE, PORTAL_ONLY. Do not infer unresolved modes."
"ROUTE_CORRIDOR_R03_R07","R03","Highsteppe","Northwestern","R07","Duskcanopy","Northwestern","R03>R07 | R07>R03","SAME-CONTINENT","SITE-015 (High Torven) | SITE-016 | SITE-017 | SITE-018 | SITE-019 | SITE-020 | SITE-021 | SITE-043 (Sanguin Bay) | SITE-044 | SITE-045 | SITE-046 | SITE-047 | SITE-048 | SITE-049","CONCORD:SETTLEMENT_CONCORD_SITE-015@SITE-015 | CONCORD:SETTLEMENT_CONCORD_SITE-043@SITE-043 | RUIN:SETTLEMENT_RUIN_SITE-015@SITE-015 | RUIN:SETTLEMENT_RUIN_SITE-043@SITE-043 | SCHISM:SETTLEMENT_SCHISM_SITE-015@SITE-015 | SCHISM:SETTLEMENT_SCHISM_SITE-043@SITE-043","POI-002 [SHADOW_FOREST] working reference: Shadow Forest Heart | POI-003 [HEATHERLANDS] working reference: Rainbow Heatherland Heart | POI-019 [PEAK] working reference: High North Peak | POI-020 [PEAK] working reference: Central Spine Peak | POI-037 [STEPPE] working reference: Northwestern Long Steppe | POI-050 [FOREST] working reference: Northwestern Greatwood | POI-061 [PLAINS] working reference: Northwestern Longplain | POI-063 [HILLS] working reference: Heather Hills","UNRESOLVED / UNRESOLVED","false","false","","","","","OWNER_APPROVAL_REQUIRED; allowed classifications: LAND / ROAD, LAND / HIGHWAY, SEA / SEA_ROUTE, AIR / AIRSHIP_ROUTE, PORTAL_ONLY. Do not infer unresolved modes."
"ROUTE_CORRIDOR_R04_R09","R04","Rivergrass","Northwestern","R09","Forestcrown","Eastern","R04>R09 | R09>R04","INTERCONTINENTAL","SITE-022 (Suro Mara) | SITE-023 | SITE-024 | SITE-025 | SITE-026 | SITE-027 | SITE-028 | SITE-057 (Dzongkhar) | SITE-058 | SITE-059 | SITE-060 | SITE-061 | SITE-062 | SITE-063","CONCORD:SETTLEMENT_CONCORD_SITE-022@SITE-022 | CONCORD:SETTLEMENT_CONCORD_SITE-057@SITE-057 | RUIN:SETTLEMENT_RUIN_SITE-022@SITE-022 | RUIN:SETTLEMENT_RUIN_SITE-057@SITE-057 | SCHISM:SETTLEMENT_SCHISM_SITE-022@SITE-022 | SCHISM:SETTLEMENT_SCHISM_SITE-057@SITE-057","POI-013 [GEYSER] working reference: Visible Geyser | POI-018 [MOUNTAIN_RANGE] working reference: Northwestern Spine Range | POI-022 [PEAK] working reference: Western Snow Peak | POI-040 [LAKE] working reference: Northwestern Great Lake | POI-043 [RIVER] working reference: Eastern Wetland Outflow | POI-044 [RIVER] working reference: Waterfall River | POI-067 [FLOATING_ISLAND] working reference: Floating Island 04 | POI-070 [RAPIDS] working reference: Waterfall River Rapids | POI-077 [WETLAND] working reference: Northwestern Reedlands","UNRESOLVED / UNRESOLVED","false","false","","","","","OWNER_APPROVAL_REQUIRED; allowed classifications: LAND / ROAD, LAND / HIGHWAY, SEA / SEA_ROUTE, AIR / AIRSHIP_ROUTE, PORTAL_ONLY. Do not infer unresolved modes."
"ROUTE_CORRIDOR_R04_R15","R04","Rivergrass","Northwestern","R15","Forestfold","Eastern","R04>R15 | R15>R04","INTERCONTINENTAL","SITE-022 (Suro Mara) | SITE-023 | SITE-024 | SITE-025 | SITE-026 | SITE-027 | SITE-028 | SITE-099 (Devanagri) | SITE-100 | SITE-101 | SITE-102 | SITE-103 | SITE-104 | SITE-105","CONCORD:SETTLEMENT_CONCORD_SITE-022@SITE-022 | CONCORD:SETTLEMENT_CONCORD_SITE-099@SITE-099 | RUIN:SETTLEMENT_RUIN_SITE-022@SITE-022 | RUIN:SETTLEMENT_RUIN_SITE-099@SITE-099 | SCHISM:SETTLEMENT_SCHISM_SITE-022@SITE-022 | SCHISM:SETTLEMENT_SCHISM_SITE-099@SITE-099","POI-008 [HEAVENFALL] working reference: Heavenfall | POI-017 [POLAR_ANOMALY] working reference: Polar Arcane Anomaly | POI-018 [MOUNTAIN_RANGE] working reference: Northwestern Spine Range | POI-024 [PEAK] working reference: Southwest Peak | POI-038 [STEPPE] working reference: Northern Cold Steppe | POI-040 [LAKE] working reference: Northwestern Great Lake | POI-043 [RIVER] working reference: Eastern Wetland Outflow | POI-044 [RIVER] working reference: Waterfall River | POI-054 [DESERT] working reference: Northern Amber Desert | POI-070 [RAPIDS] working reference: Waterfall River Rapids | POI-077 [WETLAND] working reference: Northwestern Reedlands | POI-084 [BAY] working reference: Eastern Crescent Bay | POI-091 [OCEAN] working reference: Northern Ocean","UNRESOLVED / UNRESOLVED","false","false","","","","","OWNER_APPROVAL_REQUIRED; allowed classifications: LAND / ROAD, LAND / HIGHWAY, SEA / SEA_ROUTE, AIR / AIRSHIP_ROUTE, PORTAL_ONLY. Do not infer unresolved modes."
"ROUTE_CORRIDOR_R05_R18","R05","Shadowspine","Northwestern","R18","Aerie Peaks","Southwestern","R05>R18 | R18>R05","INTERCONTINENTAL","SITE-029 (Crest Haven) | SITE-030 | SITE-031 | SITE-032 | SITE-033 | SITE-034 | SITE-035 | SITE-120 (Gryphon Reach) | SITE-121 | SITE-122 | SITE-123 | SITE-124 | SITE-125 | SITE-126","CONCORD:SETTLEMENT_CONCORD_SITE-029@SITE-029 | CONCORD:SETTLEMENT_CONCORD_SITE-120@SITE-120 | RUIN:SETTLEMENT_RUIN_SITE-029@SITE-029 | RUIN:SETTLEMENT_RUIN_SITE-120@SITE-120 | SCHISM:SETTLEMENT_SCHISM_SITE-029@SITE-029 | SCHISM:SETTLEMENT_SCHISM_SITE-120@SITE-120","POI-001 [WATERFALL] working reference: Visible Major Waterfall | POI-006 [GREAT_PIT] working reference: Great Pit | POI-021 [PEAK] working reference: Southern Spine Peak | POI-025 [PEAK] working reference: Northwest High Peak | POI-026 [PEAK] working reference: Central High Peak | POI-039 [MOUNTAIN_RANGE] working reference: Southwestern Spine Range | POI-059 [GRASSLAND] working reference: Southwestern Greensteppe | POI-069 [GLACIER] working reference: Southwestern Spine Glacier | POI-089 [SEA] working reference: Meridian Sea","UNRESOLVED / UNRESOLVED","false","false","","","","","OWNER_APPROVAL_REQUIRED; allowed classifications: LAND / ROAD, LAND / HIGHWAY, SEA / SEA_ROUTE, AIR / AIRSHIP_ROUTE, PORTAL_ONLY. Do not infer unresolved modes."
