regionId,regionName,siteId,currentSiteName,nameStatus,classification,attractivenessTier,latitude,longitude,broadTerrain,specificTerrain
R01,Icewake,SITE-001,Anseris,CANONICAL,METROPOLIS,7,81.375,-106.375,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND | OCEAN | POLAR_ICE | SUBTERRANEAN,BOREAL_FOREST | CASTLE | CITY | ESTUARY | GENERALIST | ROAD | TUNDRA | VILLAGE | WORKSHOP
R02,Timbersteppe,SITE-008,Lupin-Ghar,CANONICAL,METROPOLIS,7,64.028474,-157.391045,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP
R03,Highsteppe,SITE-015,High Torven,CANONICAL,METROPOLIS,7,45.138154,-106.720397,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP
R04,Rivergrass,SITE-022,Suro Mara,CANONICAL,METROPOLIS,7,46.595012,-94.855377,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP
R05,Shadowspine,SITE-029,Crest Haven,CANONICAL,METROPOLIS,7,28.255597,-83.267442,BUILT_ENVIRONMENT | FOREST | GENERALIST | MOUNTAIN,ALPINE | CASTLE | CITY | FOREST_FLOOR | GENERALIST | PLATEAU | ROAD | VILLAGE | WOODLAND | WORKSHOP
R06,Highcourt,SITE-036,Ascendancy,CANONICAL,METROPOLIS,7,20.360822,-32.076454,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ISLAND | ROAD | VILLAGE | WOODLAND | WORKSHOP
R07,Duskcanopy,SITE-043,Sanguin Bay,CANONICAL,METROPOLIS,7,3.049856,-75.325975,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ISLAND | ROAD | STEPPE | VILLAGE | WORKSHOP
R08,Shadeleaf,SITE-050,Luminthalas,CANONICAL,METROPOLIS,7,3.625,-153.375,BUILT_ENVIRONMENT | COASTAL | FOREST | GENERALIST,CASTLE | CITY | ESTUARY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP
R09,Forestcrown,SITE-057,Dzongkhar,CANONICAL,METROPOLIS,7,41.740275,50.235873,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP
R10,Innerwood,SITE-064,Shahravan,CANONICAL,METROPOLIS,7,27.122485,56.390356,BUILT_ENVIRONMENT | FOREST | FRESHWATER | GENERALIST,CASTLE | CITY | FLOODPLAIN | FOREST_FLOOR | GENERALIST | RIVER | ROAD | VILLAGE | WOODLAND | WORKSHOP
