siteId,siteCurrentName,siteClassification,siteAttractivenessClass,siteLatitude,siteLongitude,regionId,regionName,continent,siteBroadTerrain,siteSpecificTerrain,poiId,poiType,poiCurrentName,poiWorkingLabel,poiNameStatus,poiLatitude,poiLongitude,poiSurfaceType,poiHostFeatureId,poiPrimaryBiomeId,isMagical,isRuntimeEffectAnchor,siteAssignmentDistanceKm,siteAssignmentMethod,proposedPoiName,proposedPoiPronunciation,poiNamingNotes
SITE-004,,VILLAGE,STRONG,55.653895,-99.139383,R01,Icewake,Northwestern,FOREST | FRESHWATER,FLOODPLAIN | FOREST_FLOOR | RIVER | WOODLAND,POI-042,RIVER,Northeast Wetland Feeder River,Northeast Wetland Feeder River,WORKING,53.581405,-97.758628,SHALLOW_WATER,RIVER-SYS-0001,BIOME-CLASS-TEMPERATE_DENSE_FOREST,False,False,247.0,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-007,,HAMLET,FRONTIER,70.659302,-107.468519,R01,Icewake,Northwestern,COASTAL | MOUNTAIN | POLAR_ICE,ALPINE | CLIFF | ESTUARY | GLACIER | PACK_ICE,POI-068,GLACIER,Northern Crown Glacier,Northern Crown Glacier,WORKING,71.270192,-96.805288,ICE,BIOME-SWATH-0306,BIOME-CLASS-ICE_SNOW_GLACIER,False,False,392.1,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-007,,HAMLET,FRONTIER,70.659302,-107.468519,R01,Icewake,Northwestern,COASTAL | MOUNTAIN | POLAR_ICE,ALPINE | CLIFF | ESTUARY | GLACIER | PACK_ICE,POI-086,PLATEAU,,Northern Glacial Upland,WORKING,73.492889,-105.525328,LAND,PLATEAU-NW-01,BIOME-01,False,False,322.0,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-009,,CITY,PRIME,41.773021,-127.632047,R02,Timbersteppe,Northwestern,COASTAL | GRASSLAND,ESTUARY | STEPPE,POI-058,GRASSLAND,Westwind Grasslands,Westwind Grasslands,WORKING,40.047822,-127.383937,LAND,BIOME-SWATH-0383,BIOME-CLASS-GRASSLAND_STEPPE,False,False,193.0,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-012,,HAMLET,GOOD,54.101261,-129.772159,R02,Timbersteppe,Northwestern,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,POI-035,HEATHERLANDS,Western Heatherlands,Western Heatherlands,WORKING,48.375,-134.65625,LAND,BIOME-SWATH-2171,BIOME-CLASS-ALPINE_MOUNTAIN,False,False,721.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-012,,HAMLET,GOOD,54.101261,-129.772159,R02,Timbersteppe,Northwestern,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,POI-076,HILLS,Western Heather Hills,Western Heather Hills,WORKING,48.375,-134.65625,LAND,BIOME-SWATH-2171,BIOME-CLASS-ALPINE_MOUNTAIN,False,False,721.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-015,High Torven,METROPOLIS,METROPOLIS,45.138154,-106.720397,R03,Highsteppe,Northwestern,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,POI-050,FOREST,Northwestern Greatwood,Northwestern Greatwood,WORKING,41.807353,-112.617362,LAND,BIOME-SWATH-0608,BIOME-SWATH-1351,False,False,602.7,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-016,,CITY,PRIME,67.002817,-111.030264,R03,Highsteppe,Northwestern,MOUNTAIN | POLAR_ICE,ALPINE | CLIFF | GLACIER | PACK_ICE,POI-020,PEAK,,Central Spine Peak,WORKING,62.236552,-107.537895,LAND,PEAK-NW-02,BIOME-02,False,False,555.3,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-017,,TOWN,MAJOR,41.016237,-128.410344,R03,Highsteppe,Northwestern,COASTAL | GRASSLAND,ESTUARY | STEPPE,POI-003,HEATHERLANDS,Rainbow Heatherland Heart,Rainbow Heatherland Heart,WORKING,43.125,-126.96875,LAND,,BIOME-03,True,True,262.9,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-017,,TOWN,MAJOR,41.016237,-128.410344,R03,Highsteppe,Northwestern,COASTAL | GRASSLAND,ESTUARY | STEPPE,POI-063,HILLS,Heather Hills,Heather Hills,WORKING,42.639529,-126.844251,LAND,BIOME-SWATH-0687,BIOME-CLASS-GRASSLAND_STEPPE,False,False,222.3,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
