regionId,regionName,latticeId,foundingCity,metropolisSiteId,worldScope,assignmentSlot,speciesKind,groupId,groupName,assignmentPass,locked,regionStatus,regionNotes,assignmentSourceUrl,regionSourceUrl
R01,Icewake,L03,Anseris,SITE-0081,CSR,1,HUMAN,H02,Arctic & North American Indigenous,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae812e9f0fc62c049ca7d1,https://app.notion.com/p/3b82380d0cae81c69933c5e044a445f4
R01,Icewake,L03,Anseris,SITE-0081,CSR,2,BEAST,B23,Waterbirds & Seabirds,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81189336ea2f034d0283,https://app.notion.com/p/3b82380d0cae81c69933c5e044a445f4
R01,Icewake,L03,Anseris,SITE-0081,CSR,3,BEAST,B06,Cetaceans,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae817ea696f3ffecb79a43,https://app.notion.com/p/3b82380d0cae81c69933c5e044a445f4
R02,Timbersteppe,L01,Lupin-Ghar,SITE-0049,CSR,1,HUMAN,H06,Central Asian & Steppe,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81c68356cc7838c855f9,https://app.notion.com/p/3b82380d0cae81b587c3d899f40d1693
R02,Timbersteppe,L01,Lupin-Ghar,SITE-0049,CSR,2,BEAST,B05,Carnivorans,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae819baa0bc5915719a845,https://app.notion.com/p/3b82380d0cae81b587c3d899f40d1693
R02,Timbersteppe,L01,Lupin-Ghar,SITE-0049,CSR,3,BEAST,B08,Even-Toed Ungulates,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae8197b0a3d1c43c8043cd,https://app.notion.com/p/3b82380d0cae81b587c3d899f40d1693
R03,Highsteppe,L02,High Torven,SITE-0113,CSR,1,HUMAN,H24,Western & Northern European,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae8191a035cc8f2e37896e,https://app.notion.com/p/3b82380d0cae81ecbf75f4d43bf091fd
R03,Highsteppe,L02,High Torven,SITE-0113,CSR,2,MYTHOS,M10,Fae & Fairy Folk,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81478114efe9b4d2a7c1,https://app.notion.com/p/3b82380d0cae81ecbf75f4d43bf091fd
R03,Highsteppe,L02,High Torven,SITE-0113,CSR,3,MYTHOS,M07,"Dwarves, Halflings & Little Folk",PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81eea57bd81bded3c74e,https://app.notion.com/p/3b82380d0cae81ecbf75f4d43bf091fd
R04,Rivergrass,L04,Suro Mara,SITE-0001,CSR,1,HUMAN,H08,East African & Nilotic,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81369555d68e36c5f5a9,https://app.notion.com/p/3b82380d0cae8148bc2ec809de66d0a6
R04,Rivergrass,L04,Suro Mara,SITE-0001,CSR,2,BEAST,B22,Turtles & Crocodilians,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81799ca8c6d3516a9e36,https://app.notion.com/p/3b82380d0cae8148bc2ec809de66d0a6
R04,Rivergrass,L04,Suro Mara,SITE-0001,CSR,3,MYTHOS,M24,Water Spirits & Aquatic Monsters,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae818e88d9f5bd6f104de4,https://app.notion.com/p/3b82380d0cae8148bc2ec809de66d0a6
R05,Shadowspine,L08,Crest Haven,SITE-0007,CSR,1,MYTHOS,M11,"Ghosts, Wraiths & Specters",PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81359b99c6f17defe834,https://app.notion.com/p/3b82380d0cae8185be27ec3570b589ab
R05,Shadowspine,L08,Crest Haven,SITE-0007,CSR,2,MYTHOS,M17,"Liches, Mummies & Greater Undead",PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81e7bf81e2f70f8cef47,https://app.notion.com/p/3b82380d0cae8185be27ec3570b589ab
R05,Shadowspine,L08,Crest Haven,SITE-0007,CSR,3,MYTHOS,M03,Demons & Fiends,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81408212c0dbcd09c4c6,https://app.notion.com/p/3b82380d0cae8185be27ec3570b589ab
R06,Highcourt,L14,Ascendancy,SITE-0401,SR,1,HUMAN,H12,"Iranian, Kurdish & Eastern West Asian",PASS_2_LOCKED,true,CANONICAL,"Region-to-lattice mapping R06 ↔ L14 is canonical and independent of geography. SITE-0401 / Ascendancy geographic placement is now also resolved and canonical at latitude 20.360822, longitude -32.076454 on the Highcourt floating-island footprint derived from ISLAND-0002 / ISL-NW-001. Original founding population applies in S/R; in C, DJT seizes the founding city and Highcourt becomes the federal-capital region. Displaced Concord-world exiles later found Ashgarden in R10 Innerwood.",https://app.notion.com/p/3b92380d0cae814d8eece584bb31d412,https://app.notion.com/p/3b82380d0cae81779a38c72bab910070
R06,Highcourt,L14,Ascendancy,SITE-0401,SR,2,MYTHOS,M01,Angels & Celestials,PASS_2_LOCKED,true,CANONICAL,"Region-to-lattice mapping R06 ↔ L14 is canonical and independent of geography. SITE-0401 / Ascendancy geographic placement is now also resolved and canonical at latitude 20.360822, longitude -32.076454 on the Highcourt floating-island footprint derived from ISLAND-0002 / ISL-NW-001. Original founding population applies in S/R; in C, DJT seizes the founding city and Highcourt becomes the federal-capital region. Displaced Concord-world exiles later found Ashgarden in R10 Innerwood.",https://app.notion.com/p/3b72380d0cae81918f47fe8dbecdb0fc,https://app.notion.com/p/3b82380d0cae81779a38c72bab910070
R06,Highcourt,L14,Ascendancy,SITE-0401,SR,3,MYTHOS,M05,Djinn & Genie-Kin,PASS_2_LOCKED,true,CANONICAL,"Region-to-lattice mapping R06 ↔ L14 is canonical and independent of geography. SITE-0401 / Ascendancy geographic placement is now also resolved and canonical at latitude 20.360822, longitude -32.076454 on the Highcourt floating-island footprint derived from ISLAND-0002 / ISL-NW-001. Original founding population applies in S/R; in C, DJT seizes the founding city and Highcourt becomes the federal-capital region. Displaced Concord-world exiles later found Ashgarden in R10 Innerwood.",https://app.notion.com/p/3b92380d0cae8149b12dcfc53c239930,https://app.notion.com/p/3b82380d0cae81779a38c72bab910070
R07,Duskcanopy,L07,Sanguin Bay,SITE-0065,CSR,1,HUMAN,H21,Southern & Eastern European,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae8164a45fc6410ff387dc,https://app.notion.com/p/3b82380d0cae816787facdaa0ff6df9c
R07,Duskcanopy,L07,Sanguin Bay,SITE-0065,CSR,2,MYTHOS,M23,Vampires & Blood-Drinkers,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae8185a95ae3f153dbab83,https://app.notion.com/p/3b82380d0cae816787facdaa0ff6df9c
R07,Duskcanopy,L07,Sanguin Bay,SITE-0065,CSR,3,MYTHOS,M21,Shapeshifters & Werebeings,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81eaa938f8c5a8a43be4,https://app.notion.com/p/3b82380d0cae816787facdaa0ff6df9c
R08,Shadeleaf,L06,Luminthalas,SITE-0033,CSR,1,HUMAN,H09,East Asian,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81d1aad4f632701a9dc4,https://app.notion.com/p/3b82380d0cae81d3b813e94816adba49
R08,Shadeleaf,L06,Luminthalas,SITE-0033,CSR,2,BEAST,B21,Songbirds,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81eebe6dcf6bc6b69462,https://app.notion.com/p/3b82380d0cae81d3b813e94816adba49
R08,Shadeleaf,L06,Luminthalas,SITE-0033,CSR,3,MYTHOS,M09,Elves,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81fc85fee3939efb57b9,https://app.notion.com/p/3b82380d0cae81d3b813e94816adba49
R09,Ironcrown,L09,Dzongkhar,SITE-0133,CSR,1,HUMAN,H10,Himalayan & Tibetan,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae816a962dfc9db38d2475,https://app.notion.com/p/3b82380d0cae81dd868efb54cbfe0264
R09,Ironcrown,L09,Dzongkhar,SITE-0133,CSR,2,MYTHOS,M12,Giants & Titans,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81d192ded3b00823e242,https://app.notion.com/p/3b82380d0cae81dd868efb54cbfe0264
R09,Ironcrown,L09,Dzongkhar,SITE-0133,CSR,3,MYTHOS,M08,Elementals,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81ac9b7bc447bb70ccf0,https://app.notion.com/p/3b82380d0cae81dd868efb54cbfe0264
R10,Innerwood,L10,Ashgarden [C] / Second Song [S] / Last Well [R],SITE-0243,C,1,HUMAN,H12,"Iranian, Kurdish & Eastern West Asian",PASS_2_LOCKED,true,CANONICAL,R10 physical geography exists in all worlds but has no original founding city. Innerwood is founded only after DJT dispossesses a founding population: C exiles from Highcourt establish Ashgarden; S exiles from The Chains establish Second Song; R exiles from Sunscar establish Last Well.,https://app.notion.com/p/3b72380d0cae812ca7e0eee34238e260,https://app.notion.com/p/3b82380d0cae8146b7b9e38189fbf1eb
R10,Innerwood,L10,Ashgarden [C] / Second Song [S] / Last Well [R],SITE-0243,C,2,HUMAN,H04,Caucasian & Anatolian,PASS_2_LOCKED,true,CANONICAL,R10 physical geography exists in all worlds but has no original founding city. Innerwood is founded only after DJT dispossesses a founding population: C exiles from Highcourt establish Ashgarden; S exiles from The Chains establish Second Song; R exiles from Sunscar establish Last Well.,https://app.notion.com/p/3b72380d0cae8181b2a6f243d4dbee1a,https://app.notion.com/p/3b82380d0cae8146b7b9e38189fbf1eb
R10,Innerwood,L10,Ashgarden [C] / Second Song [S] / Last Well [R],SITE-0243,C,3,MYTHOS,M05,Djinn & Genie-Kin,PASS_2_LOCKED,true,CANONICAL,R10 physical geography exists in all worlds but has no original founding city. Innerwood is founded only after DJT dispossesses a founding population: C exiles from Highcourt establish Ashgarden; S exiles from The Chains establish Second Song; R exiles from Sunscar establish Last Well.,https://app.notion.com/p/3b72380d0cae818c8ed5c75578c34215,https://app.notion.com/p/3b82380d0cae8146b7b9e38189fbf1eb
R10,Innerwood,L10,Ashgarden [C] / Second Song [S] / Last Well [R],SITE-0243,S,1,HUMAN,H03,Australian Indigenous,PASS_2_LOCKED,true,CANONICAL,R10 physical geography exists in all worlds but has no original founding city. Innerwood is founded only after DJT dispossesses a founding population: C exiles from Highcourt establish Ashgarden; S exiles from The Chains establish Second Song; R exiles from Sunscar establish Last Well.,https://app.notion.com/p/3b92380d0cae81f0b0d0c87d0ade7a2b,https://app.notion.com/p/3b82380d0cae8146b7b9e38189fbf1eb
R10,Innerwood,L10,Ashgarden [C] / Second Song [S] / Last Well [R],SITE-0243,S,2,BEAST,B10,Marsupials & Monotremes,PASS_2_LOCKED,true,CANONICAL,R10 physical geography exists in all worlds but has no original founding city. Innerwood is founded only after DJT dispossesses a founding population: C exiles from Highcourt establish Ashgarden; S exiles from The Chains establish Second Song; R exiles from Sunscar establish Last Well.,https://app.notion.com/p/3b92380d0cae815f97b0f877f83fa038,https://app.notion.com/p/3b82380d0cae8146b7b9e38189fbf1eb
R10,Innerwood,L10,Ashgarden [C] / Second Song [S] / Last Well [R],SITE-0243,S,3,BEAST,B13,Other Specialized Birds,PASS_2_LOCKED,true,CANONICAL,R10 physical geography exists in all worlds but has no original founding city. Innerwood is founded only after DJT dispossesses a founding population: C exiles from Highcourt establish Ashgarden; S exiles from The Chains establish Second Song; R exiles from Sunscar establish Last Well.,https://app.notion.com/p/3b92380d0cae81d7b9d7e31cc859900a,https://app.notion.com/p/3b82380d0cae8146b7b9e38189fbf1eb
R10,Innerwood,L10,Ashgarden [C] / Second Song [S] / Last Well [R],SITE-0243,R,1,HUMAN,H01,Arabian Peninsula,PASS_2_LOCKED,true,CANONICAL,R10 physical geography exists in all worlds but has no original founding city. Innerwood is founded only after DJT dispossesses a founding population: C exiles from Highcourt establish Ashgarden; S exiles from The Chains establish Second Song; R exiles from Sunscar establish Last Well.,https://app.notion.com/p/3b92380d0cae81348d9bc8acb5abe4d3,https://app.notion.com/p/3b82380d0cae8146b7b9e38189fbf1eb
R10,Innerwood,L10,Ashgarden [C] / Second Song [S] / Last Well [R],SITE-0243,R,2,HUMAN,H17,North African & Saharan,PASS_2_LOCKED,true,CANONICAL,R10 physical geography exists in all worlds but has no original founding city. Innerwood is founded only after DJT dispossesses a founding population: C exiles from Highcourt establish Ashgarden; S exiles from The Chains establish Second Song; R exiles from Sunscar establish Last Well.,https://app.notion.com/p/3b92380d0cae817a98a2e028463c5a95,https://app.notion.com/p/3b82380d0cae8146b7b9e38189fbf1eb
