siteId,regionId,regionName,continent,classification,broadTerrain,specificTerrain,poiCount,poiTypeList,poiIdAndLabelList,proposedSiteName,namingNotes
SITE-001,R01,Icewake,Raukaam,METROPOLIS,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND | OCEAN | POLAR_ICE | SUBTERRANEAN,BOREAL_FOREST | CASTLE | CITY | ESTUARY | GENERALIST | ROAD | TUNDRA | VILLAGE | WORKSHOP,0,,,,
SITE-002,R01,Icewake,Raukaam,CITY,POLAR_ICE,GLACIER | PACK_ICE,0,,,,
SITE-003,R01,Icewake,Raukaam,TOWN,COASTAL | GRASSLAND,ESTUARY | STEPPE,0,,,,
SITE-004,R01,Icewake,Raukaam,VILLAGE,FOREST | FRESHWATER,FLOODPLAIN | FOREST_FLOOR | RIVER | WOODLAND,1,RIVER,POI-042 [RIVER] Northeast Wetland Feeder River,,
SITE-005,R01,Icewake,Raukaam,HAMLET,GRASSLAND | POLAR_ICE,BOREAL_FOREST | TUNDRA,0,,,,
SITE-006,R01,Icewake,Raukaam,HAMLET,COASTAL | MOUNTAIN,ALPINE | CLIFF | ESTUARY,0,,,,
SITE-007,R01,Icewake,Raukaam,HAMLET,COASTAL | MOUNTAIN | POLAR_ICE,ALPINE | CLIFF | ESTUARY | GLACIER | PACK_ICE,2,GLACIER | PLATEAU,POI-068 [GLACIER] Northern Crown Glacier; POI-086 [PLATEAU] Northern Glacial Upland,,
SITE-008,R02,Timbersteppe,Raukaam,METROPOLIS,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,0,,,,
SITE-009,R02,Timbersteppe,Raukaam,CITY,COASTAL | GRASSLAND,ESTUARY | STEPPE,1,GRASSLAND,POI-058 [GRASSLAND] Westwind Grasslands,,
SITE-010,R02,Timbersteppe,Raukaam,TOWN,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | WOODLAND,0,,,,
SITE-011,R02,Timbersteppe,Raukaam,VILLAGE,FOREST,FOREST_FLOOR | SHADOW_FOREST,0,,,,
SITE-012,R02,Timbersteppe,Raukaam,HAMLET,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,2,HEATHERLANDS | HILLS,POI-035 [HEATHERLANDS] Western Heatherlands; POI-076 [HILLS] Western Heather Hills,,
SITE-013,R02,Timbersteppe,Raukaam,HAMLET,GRASSLAND | POLAR_ICE,BOREAL_FOREST | TUNDRA,0,,,,
SITE-014,R02,Timbersteppe,Raukaam,HAMLET,COASTAL | POLAR_ICE,ESTUARY | GLACIER | PACK_ICE,0,,,,
SITE-015,R03,Highsteppe,Raukaam,METROPOLIS,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,1,FOREST,POI-050 [FOREST] Northwestern Greatwood,,
SITE-016,R03,Highsteppe,Raukaam,CITY,MOUNTAIN | POLAR_ICE,ALPINE | CLIFF | GLACIER | PACK_ICE,1,PEAK,POI-020 [PEAK] Central Spine Peak,,
SITE-017,R03,Highsteppe,Raukaam,TOWN,COASTAL | GRASSLAND,ESTUARY | STEPPE,2,HEATHERLANDS | HILLS,POI-003 [HEATHERLANDS] Rainbow Heatherland Heart; POI-063 [HILLS] Heather Hills,,
SITE-018,R03,Highsteppe,Raukaam,VILLAGE,COASTAL | MOUNTAIN,ALPINE | ESTUARY | MONTANE_FOREST | PLATEAU,0,,,,
SITE-019,R03,Highsteppe,Raukaam,HAMLET,FOREST,FOREST_FLOOR | WOODLAND,0,,,,
SITE-020,R03,Highsteppe,Raukaam,HAMLET,FOREST,FOREST_FLOOR | SHADOW_FOREST,0,,,,
SITE-021,R03,Highsteppe,Raukaam,HAMLET,COASTAL | POLAR_ICE,ESTUARY | GLACIER | PACK_ICE,1,PEAK,POI-019 [PEAK] High North Peak,,
SITE-022,R04,Rivergrass,Raukaam,METROPOLIS,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,0,,,,
SITE-023,R04,Rivergrass,Raukaam,CITY,FRESHWATER | WETLAND,FLOODPLAIN | LAKE | MARSH | POND | SWAMP,2,LAKE | WETLAND,POI-040 [LAKE] Northwestern Great Lake; POI-077 [WETLAND] Northwestern Reedlands,,
SITE-024,R04,Rivergrass,Raukaam,TOWN,WETLAND,FLOODPLAIN | MARSH | SWAMP,0,,,,
SITE-025,R04,Rivergrass,Raukaam,VILLAGE,GRASSLAND,STEPPE,0,,,,
SITE-026,R04,Rivergrass,Raukaam,HAMLET,FOREST | FRESHWATER,FLOODPLAIN | FOREST_FLOOR | RIVER | WOODLAND,1,RIVER,POI-043 [RIVER] Eastern Wetland Outflow,,
SITE-027,R04,Rivergrass,Raukaam,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,2,RIVER | RAPIDS,POI-044 [RIVER] Waterfall River; POI-070 [RAPIDS] Waterfall River Rapids,,
SITE-028,R04,Rivergrass,Raukaam,HAMLET,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,1,MOUNTAIN_RANGE,POI-018 [MOUNTAIN_RANGE] Northwestern Spine Range,,
