siteId,currentSiteName,nameStatus,classification,attractivenessClass,attractivenessTier,latitude,longitude,regionId,regionName,continent,surfaceType,biomeClass,broadTerrain,specificTerrain,elevationM,coastalDistanceKm,riverDistanceKm,wetlandDistanceKm,ridgeDistanceKm,hostFeatureId,poiCount,poiIds,poiTypes,poiCurrentLabels,poiSummary,namingContext,proposedSiteName,proposedPronunciation,siteNamingNotes
SITE-001,Anseris,CANONICAL,METROPOLIS,METROPOLIS,7,81.375,-106.375,R01,Icewake,Northwestern,COASTAL_LAND,TUNDRA_COOL_STEPPE,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND | OCEAN | POLAR_ICE | SUBTERRANEAN,BOREAL_FOREST | CASTLE | CITY | ESTUARY | GENERALIST | ROAD | TUNDRA | VILLAGE | WORKSHOP,539.5,27.8,666.7,2419.7,343.4,,0,,,,,Region: Icewake || Continent: Northwestern || Class: Metropolis || Biome: Tundra Cool Steppe || Broad: BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND | OCEAN | POLAR_ICE | SUBTERRANEAN || Specific: BOREAL_FOREST | CASTLE | CITY | ESTUARY | GENERALIST | ROAD | TUNDRA | VILLAGE | WORKSHOP,,,
SITE-002,,WORKING,CITY,PRIME,6,71.471175,-84.328579,R01,Icewake,Northwestern,ICE,ICE_SNOW_GLACIER,POLAR_ICE,GLACIER | PACK_ICE,119.7,186.5,1535.6,1477.8,2315.3,,0,,,,,Region: Icewake || Continent: Northwestern || Class: City || Biome: Ice Snow Glacier || Broad: POLAR_ICE || Specific: GLACIER | PACK_ICE,,,
SITE-003,,WORKING,TOWN,MAJOR,5,57.074054,-67.257679,R01,Icewake,Northwestern,COASTAL_LAND,GRASSLAND_STEPPE,COASTAL | GRASSLAND,ESTUARY | STEPPE,37.6,20.9,674.8,1131.4,2817.9,,0,,,,,Region: Icewake || Continent: Northwestern || Class: Town || Biome: Grassland Steppe || Broad: COASTAL | GRASSLAND || Specific: ESTUARY | STEPPE,,,
SITE-004,,WORKING,VILLAGE,STRONG,4,55.653895,-99.139383,R01,Icewake,Northwestern,LAND,TEMPERATE_DENSE_FOREST,FOREST | FRESHWATER,FLOODPLAIN | FOREST_FLOOR | RIVER | WOODLAND,89.6,209.2,9.5,1071.7,683.6,,1,POI-042,RIVER,Northeast Wetland Feeder River,POI-042 [RIVER] Northeast Wetland Feeder River,Region: Icewake || Continent: Northwestern || Class: Village || Biome: Temperate Dense Forest || Broad: FOREST | FRESHWATER || Specific: FLOODPLAIN | FOREST_FLOOR | RIVER | WOODLAND || POIs: POI-042 [RIVER] Northeast Wetland Feeder River,,,
SITE-005,,WORKING,HAMLET,GOOD,3,61.654944,-84.223023,R01,Icewake,Northwestern,LAND,TUNDRA_COOL_STEPPE,GRASSLAND | POLAR_ICE,BOREAL_FOREST | TUNDRA,258.1,248.8,1350.5,974.6,2170.4,,0,,,,,Region: Icewake || Continent: Northwestern || Class: Hamlet || Biome: Tundra Cool Steppe || Broad: GRASSLAND | POLAR_ICE || Specific: BOREAL_FOREST | TUNDRA,,,
SITE-006,,WORKING,HAMLET,MODEST,2,63.215475,-105.570324,R01,Icewake,Northwestern,COASTAL_LAND,ALPINE_MOUNTAIN,COASTAL | MOUNTAIN,ALPINE | CLIFF | ESTUARY,2090.1,34.2,242.8,1865.4,225.4,,0,,,,,Region: Icewake || Continent: Northwestern || Class: Hamlet || Biome: Alpine Mountain || Broad: COASTAL | MOUNTAIN || Specific: ALPINE | CLIFF | ESTUARY,,,
SITE-007,,WORKING,HAMLET,FRONTIER,1,70.659302,-107.468519,R01,Icewake,Northwestern,COASTAL_LAND,ICE_SNOW_GLACIER,COASTAL | MOUNTAIN | POLAR_ICE,ALPINE | CLIFF | ESTUARY | GLACIER | PACK_ICE,2215.6,21.3,478.7,2249.2,197.2,,2,POI-068 | POI-086,GLACIER | PLATEAU,Northern Crown Glacier | Northern Glacial Upland,POI-068 [GLACIER] Northern Crown Glacier; POI-086 [PLATEAU] Northern Glacial Upland,Region: Icewake || Continent: Northwestern || Class: Hamlet || Biome: Ice Snow Glacier || Broad: COASTAL | MOUNTAIN | POLAR_ICE || Specific: ALPINE | CLIFF | ESTUARY | GLACIER | PACK_ICE || POIs: POI-068 [GLACIER] Northern Crown Glacier; POI-086 [PLATEAU] Northern Glacial Upland,,,
SITE-008,Lupin-Ghar,CANONICAL,METROPOLIS,METROPOLIS,7,64.028474,-157.391045,R02,Timbersteppe,Northwestern,LAND,TEMPERATE_DENSE_FOREST,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,97.0,55.6,4993.0,6576.8,671.7,,0,,,,,Region: Timbersteppe || Continent: Northwestern || Class: Metropolis || Biome: Temperate Dense Forest || Broad: BUILT_ENVIRONMENT | FOREST | GENERALIST || Specific: CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,,,
SITE-009,,WORKING,CITY,PRIME,6,41.773021,-127.632047,R02,Timbersteppe,Northwestern,COASTAL_LAND,GRASSLAND_STEPPE,COASTAL | GRASSLAND,ESTUARY | STEPPE,530.6,1.1,2108.7,3522.9,833.6,,1,POI-058,GRASSLAND,Westwind Grasslands,POI-058 [GRASSLAND] Westwind Grasslands,Region: Timbersteppe || Continent: Northwestern || Class: City || Biome: Grassland Steppe || Broad: COASTAL | GRASSLAND || Specific: ESTUARY | STEPPE || POIs: POI-058 [GRASSLAND] Westwind Grasslands,,,
SITE-010,,WORKING,TOWN,MAJOR,5,50.418524,-156.546896,R02,Timbersteppe,Northwestern,COASTAL_LAND,TEMPERATE_DENSE_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | WOODLAND,42.0,33.1,4800.3,6375.5,1101.4,,0,,,,,Region: Timbersteppe || Continent: Northwestern || Class: Town || Biome: Temperate Dense Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | WOODLAND,,,
SITE-011,,WORKING,VILLAGE,STRONG,4,40.239529,-143.525654,R02,Timbersteppe,Northwestern,LAND,SHADOW_FOREST,FOREST,FOREST_FLOOR | SHADOW_FOREST,82.1,97.0,3634.3,5041.5,1521.9,,0,,,,,Region: Timbersteppe || Continent: Northwestern || Class: Village || Biome: Shadow Forest || Broad: FOREST || Specific: FOREST_FLOOR | SHADOW_FOREST,,,
SITE-012,,WORKING,HAMLET,GOOD,3,54.101261,-129.772159,R02,Timbersteppe,Northwestern,COASTAL_LAND,ALPINE_MOUNTAIN,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,3704.3,0.4,2251.0,3840.2,73.4,,2,POI-035 | POI-076,HEATHERLANDS | HILLS,Western Heatherlands | Western Heather Hills,POI-035 [HEATHERLANDS] Western Heatherlands; POI-076 [HILLS] Western Heather Hills,Region: Timbersteppe || Continent: Northwestern || Class: Hamlet || Biome: Alpine Mountain || Broad: COASTAL | MOUNTAIN || Specific: ALPINE | ESTUARY | PLATEAU || POIs: POI-035 [HEATHERLANDS] Western Heatherlands; POI-076 [HILLS] Western Heather Hills,,,
